body,type_id,meeting_date,meeting_year,source_url,source_filename,discovered_utc,note
council,1,2015-09-16,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/091615%20Regular%20Meeting%20Approved%20Minutes.pdf,091615 Regular Meeting Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-09-17,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/091715%20Workshop%20Approved%20Minutes.pdf,091715 Workshop Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-09-23,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/09232015%20minutes.pdf,09232015 minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-10-07,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/100715%20Regular%20Meeting%20Approved%20Minutes.pdf,100715 Regular Meeting Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-10-09,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/100915%20Workshop%20Approved%20Minutes.pdf,100915 Workshop Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-10-21,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/102115%20Regular%20Meeting%20Approved%20Minutes.pdf,102115 Regular Meeting Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-10-28,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/102815%20Workshop%20Approved%20Minutes.pdf,102815 Workshop Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-11-13,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/11132015%20minutes.pdf,11132015 minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-11-16,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/111615%20Workshop%20Approved%20Minutes.pdf,111615 Workshop Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-11-18,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/111815%20Regular%20Meeting%20Approved%20Minutes.pdf,111815 Regular Meeting Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-11-23,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/112315%20Workshop%20Approved%20Minutes.pdf,112315 Workshop Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2015-12-02,2015,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/120215%20Regular%20Meeting%20Approved%20Minutes.pdf,120215 Regular Meeting Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2016-01-06,2016,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01062016%20minutes.pdf,01062016 minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2016-01-13,2016,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01132016%20minutes.pdf,01132016 minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2016-02-24,2016,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/02242016%20minutes.pdf,02242016 minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
council,1,2016-03-02,2016,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/030216%20Council%20Workshop%20Approved%20Minutes.pdf,030216 Council Workshop Approved Minutes.pdf,2026-05-28T20:24:58+00:00,auto-discovered; review before adding to bronze
