ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,LandUseCategory,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
Broadway Avenue Utility Extension,Village Council,Regular Meeting,Village Council,2025-12-17,2025-12-17,2025,Cancelled,1346,8,Ordinance,residential,"First Reading of Zoning Ordinance No. 2025-15, 4741 Broadway Avenue West rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Approving with Conditions a Rezoning from Agriculture (AG) to Residential Single Family (RSF)...","First Reading of Zoning Ordinance No. 2025-15, 4741 Broadway Avenue West rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Approving with Conditions a Rezoning from Agriculture (AG) to Residential Single Family (RSF) For A0.3. Action: Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20","Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20","Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20","Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20",,,Detected,,Ordinance No. 2025-15,,4741 Broadway Avenue,"4741 Broadway Avenue, Estero, FL",26.441434871611,-81.833425612111,0.995,TD/CS,12172025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,AgendaItemLocation
Broadway Avenue Utility Extension,Village Council,Regular Meeting,Village Council,2025-12-17,2025-12-17,2025,Cancelled,1344,6,Contract Approval,infrastructure,Broadway Ave. West Safety and Drainage Improvements - Design & Permitting Contract,"Broadway Ave. West Safety and Drainage Improvements - Design & Permitting Contract. Action: Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the con...","Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council","Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council","Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council",,,Detected,,,,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL","Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",26.441876807456,-81.822814751334,0.95,TD/CS,12172025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2025-12-17,2025-12-17,2025,Cancelled,1343,5,Vote,infrastructure,Cypress Bend Utility Extension Project Funding,"Cypress Bend Utility Extension Project Funding. Action: Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost","Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost","Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost","Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost",,,Detected,,,,Cypress Bend Septic Area,"Cypress Bend, Estero, FL",26.4469,-81.8116,0.9,TD/CS,12172025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2025-12-17,2025-12-17,2025,Cancelled,1342,4,Vote,infrastructure,Sunny Grove Utility Extension Project Funding,"Sunny Grove Utility Extension Project Funding. Action: Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost","Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost","Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost","Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost",,,Detected,,,,Sunny Grove Septic Area,"Sunny Grove, Estero, FL",26.4376,-81.8128,0.9,TD/CS,12172025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2025-12-03,2025-12-03,2025,Accepted,1336,5,Resolution,infrastructure,"Resolution No. 2025-25 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Cypress Bend RV Resort. A Resolution of the Village Council of the Village of Estero, Florida, Providing...","Resolution No. 2025-25 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Cypress Bend RV Resort. A Resolution of the Village Council of the Village of Estero, Florida, Providing Notice . Action: Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process",Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,,,Detected,,Resolution No. 2025-25,,Cypress Bend Septic Area,"Cypress Bend, Estero, FL",26.4469,-81.8116,0.9,TD/CS,12032025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12032025.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2025-12-03,2025-12-03,2025,Accepted,1335,4,Resolution,infrastructure,"Resolution No. 2025-24 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Sunny Grove Park, Inc. A Resolution of the Village Council of the Village of Estero, Florida, Providing...","Resolution No. 2025-24 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Sunny Grove Park, Inc. A Resolution of the Village Council of the Village of Estero, Florida, Providing Notice o. Action: Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process",Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,,,Detected,,Resolution No. 2025-24,,Sunny Grove Septic Area,"Sunny Grove, Estero, FL",26.4376,-81.8128,0.9,TD/CS,12032025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12032025.pdf,AgendaItemLocation
"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to cons...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-11-18,2025-11-18,2025,Accepted,124,3,Vote,open_space,"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to cons...","Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to construct a7. Action: Approved the Development Order with staff stipulations and the correction of the hours of operation",Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,,,See minutes,,DOS2025-E002,4,"10411 Corkscrew Commons Drive, Estero, FL","10411 Corkscrew Commons Drive, Estero, FL",26.43208733128,-81.781417998383,1.0,,20251118 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf,AgendaItemLocation
"4741 Broadway Ave. West (Cooper Property) - Rezoning (REZ2025-E001) (District 2) A triangular 0.36-acre parcel on the south side of Broadway Avenue West, across from Riverwoods Plantation and adjacent to the Florida Power & Light Company right-of-...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-11-18,2025-11-18,2025,Accepted,123,2,Unknown,infrastructure,"4741 Broadway Ave. West (Cooper Property) - Rezoning (REZ2025-E001) (District 2) A triangular 0.36-acre parcel on the south side of Broadway Avenue West, across from Riverwoods Plantation and adjacent to the Florida Power & Light Company right-of-...","4741 Broadway Ave. West (Cooper Property) - Rezoning (REZ2025-E001) (District 2) A triangular 0.36-acre parcel on the south side of Broadway Avenue West, across from Riverwoods Plantation and adjacent to the Florida Power & Light Company right-of-way. No . Action: Recommended approval to the Village Council with staff conditions",Recommended approval to the Village Council with staff conditions,Recommended approval to the Village Council with staff conditions,,,,See minutes,,,2,"4741 Broadway Ave, Estero, FL","4741 Broadway Ave, Estero, FL",26.441434871611,-81.833425612111,0.995,,20251118 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf,AgendaItemLocation
"Toasted Yolk - COP Administrative Amendment (ADD2025-E007) (District 1) 22941 Lyden Drive Suite 110, located west of US 41, east of Lyden Drive and south of Vandenberg Way. The unit was formerly occupied by Zoe's Kitchen. Applicant is seeking appr...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-11-18,2025-11-18,2025,Accepted,122,1,Vote,other,"Toasted Yolk - COP Administrative Amendment (ADD2025-E007) (District 1) 22941 Lyden Drive Suite 110, located west of US 41, east of Lyden Drive and south of Vandenberg Way. The unit was formerly occupied by Zoe's Kitchen. Applicant is seeking appr...","Toasted Yolk - COP Administrative Amendment (ADD2025-E007) (District 1) 22941 Lyden Drive Suite 110, located west of US 41, east of Lyden Drive and south of Vandenberg Way. The unit was formerly occupied by Zoe's Kitchen. Applicant is seeking approval of . Action: Approved request for outdoor consumption on premises with staff conditions",Approved request for outdoor consumption on premises with staff conditions,Approved request for outdoor consumption on premises with staff conditions,Approved request for outdoor consumption on premises with staff conditions,,,See minutes,,ADD2025-E007,1,"22941 Lyden Drive, Estero, FL","22941 Lyden Drive, Estero, FL",26.403642127478,-81.811293532053,1.0,,20251118 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf,AgendaItemLocation
Williams Road Improvements,Village Council,Regular Meeting,Village Council,2025-11-05,2025-11-05,2025,Accepted,1323,4,Contract Approval,infrastructure,Williams Road & Atlantic Gulf Boulevard Wetland Mitigation,"Williams Road & Atlantic Gulf Boulevard Wetland Mitigation. Action: Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council","Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council","Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council","Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council",,,Detected,,,,"Williams Road & Atlantic Gulf Boulevard, Estero, FL","Williams Road & Atlantic Gulf Boulevard, Estero, FL",26.420304009887,-81.812656010414,1.0,TD/CS,11052025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/11052025.pdf,AgendaItemLocation
