action_id,meeting_id,sequence,kind,reference_code,amount_usd,raw_text
1,1,0,Adopted,,,Adopted the Village of Estero Information Security Policy.
2,1,1,Accepted Payment,,30000.0,"Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made. Vote : (Roll Call) Aye:"
3,1,2,Approved Contract,EC 2024-07,249480.0,"Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
4,1,3,Approved Contract,EC 2024-06,,Approved contract EC 2024-06 with Florida Acquisition Services to provide right -of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero
5,1,4,Approved Change Order,EC 2022-83,8500.0,"Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to"
6,2,0,Adopted,,,Adopted the Village of Estero Information Security Policy.
7,2,1,Accepted Payment,,30000.0,"Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made. Vote : (Roll Call) Aye:"
8,2,2,Approved Contract,EC 2024-07,249480.0,"Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
9,2,3,Approved Contract,EC 2024-06,,Approved contract EC 2024-06 with Florida Acquisition Services to provide right -of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero
10,2,4,Approved Change Order,EC 2022-83,8500.0,"Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to"
11,3,0,Adopted Resolution,2017-02,,Adopted Resolution No. 2017-02.
