Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
01032024 minutes.pdf,"January 3, 2024",2024-01-03,Village Council,"8800 Corkscrew Road, Estero, FL",9:30 am,11:23 am,"Approved agenda | Approved consent agenda | Adopted the Village of Estero Information Security Policy | Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made | Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study | Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council | Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water",TD/CS,Accepted,https://your-website.com/estero-pdfs/01032024 minutes.pdf
010417 Council Meeting Approved Minutes.pdf,"January 4, 2017",2017-01-04,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:53 pm,"Approved the agenda as revised: pulled agenda item 3 (b) from the Consent Agenda and rescheduled for the January 18, 2017 Council meeting; removed agenda item 10 (b) and delayed discussion until it is determined whether there will be a Village election in March | Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting | Adopted Resolution No. 2017-02 | Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended | Approved the Traffic Signal Maintenance Agreement with Lee County | Passed first reading and set second reading and public hearing date for January 18, 2017 | Passed second reading and adopted Ordinance No. 2016-15 | Passed second reading and adopted Ordinance No. 2016-16",SS,Accepted,https://your-website.com/estero-pdfs/010417 Council Meeting Approved Minutes.pdf
01042023 minutes.pdf,"January 4, 2023",2023-01-04,Village Council,"Estero River, Estero, FL",9:30 am,11:16 am,"Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River | Accepted the Village's portion of the Opiod Settlement in the amount of $14,400",TD/CS,Accepted,https://your-website.com/estero-pdfs/01042023 minutes.pdf
01052022 minutes.pdf,"January 5, 2022",2022-01-05,Village Council,"Estero Parkway, Estero, FL",9:30 am,11:00 am,"Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-01 | Approved award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services Estero Parkway Landscaping as provided in the contract for a one-year period, at a rate of $358,276.00 per year. Authorized the Village Manager to Village Council Minutes - January 5,2022 Page 3 of 6 renegotiate and execute the renewal of this contract for three additional one-year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $ 71,700 (20% contingency) to cover unforeseen circumstances which may occur. This will include repairs of the irrigation system and replacement of plant material, as needed, and authorized the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Authorized the Village Manager and Village Attorney to execute any documents necessary to maintain participation in the State of Florida settlement | Passed first reading and schedule second reading and public hearing for January 19, 2022",TD/CS,Accepted,https://your-website.com/estero-pdfs/01052022 minutes.pdf
01062016 minutes.pdf,"January 6, 2016",2016-01-06,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",10:00 am,11:52 am,Approved the agenda | Approved the Consent Agenda | Approved first reading of Ordinance No. 2016-01 | Adopted Resolution No. 2016-01 | Adopted Resolution No. 2016-02 | Adopted Resolution No. 2016-03,SS,Accepted,https://your-website.com/estero-pdfs/01062016 minutes.pdf
01082025 minutes.pdf,"January 8, 2025",2025-01-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:25 am,"Approved agenda | Approved consent agenda | Approved award of Task Authorization 14 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $193,411, approve a $19,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Passed first reading and schedule second reading for February 5, 2025 and the applicant will provide us with additional information | Passed first reading and schedule second reading for January 22, 2025",TD/CS,Accepted,https://your-website.com/estero-pdfs/01082025 minutes.pdf
01132016 minutes.pdf,"January 13, 2016",2016-01-13,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",2:00 pm,3:20 pm,"Directed Village Land Use Attorney Nancy Stroud to investigate the merits of an annexation challenge, a DRI challenge, and Comprehensive Plan challenge, with traffic analysis; further review of coastal high hazard area implication; directed staff to engage with the county regarding partnering with the Village to try to find a solution; engage a traffic engineer and bring information back, including budget implication, to Council at the next meeting | Continued deliberations to 9:00 a.m. on January 20, 2016",SS,Accepted,https://your-website.com/estero-pdfs/01132016 minutes.pdf
01132021 Minutes.pdf,"January 13, 2021",2021-01-13,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:03 am,No action found,TD/SS,Accepted,https://your-website.com/estero-pdfs/01132021 Minutes.pdf
011817 Council Meeting Approved Minutes.pdf,"January 18, 2017",2017-01-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,1:07 pm,"Approved the agenda | Approved the Consent Agenda | Adopted Resolution No. 2017-01 | Revised item No. 2 on the legislative priorities list to read: ""Support funding for the acquisition of the ""Edison Farms"" parcel (located due East and South of the Village) to preserve in perpetuity this key environmental area, create the potential for a local park with trails and viewing areas, provide mitigation of storm water impacts and reduction in flooding within Estero and adjoining communities, and preserve the value of this unique resource as a ground water recharge area."" | Approved the Village of Estero 2017 State Legislative Priorities as revised | Approved the Village of Estero membership in the Bonita Springs Estero Economic Development Council for a one-year trial period at a cost of $5,000; designated Councilmember Wilson as the liaison; and thanked the Estero Community Improvement Foundation for their $5,000 matching contribution | Designated Mayor Batos as the Village spokesman at the Legislative Delegation meeting | Passed second reading and adopted Ordinance No. 2017-01 with revised wording for Conditions 1, 3, 7, 10, and 15",SS,Accepted,https://your-website.com/estero-pdfs/011817 Council Meeting Approved Minutes.pdf
01192022 minutes.pdf,"January 19, 2022",2022-01-19,Village Council,"Via Coconut Point and Sandy Lane, Estero, FL",9:30 am,12:44 pm,"Approved to permit Councilmember Wilson to participate remotely in Zoom Presentation. Village Council Minutes - January 19,2022 Page 1 of 7 | Approved agenda | Approved the Consent Agenda with the revision of the minutes | Adopted the lien mitigation request from DK Realty Group-Sub, LLC releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $49,000.00 and $296.85 for administrative costs | Approved award of Request for Bid No. RFB 2021-04, Sandy Lane and Via Coconut Point Bridge Rehabilitation to Thomas Marine Construction, Inc. to perform the rehabilitation work at a cost of $349,851, approve a contingency fund amount of $35,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Adopted Ordinance No. 2022-01 | Approved the Village to spend up to $7,000 on the 7th Anniversary Celebration on March 5, 2022",TD/CS,Accepted,https://your-website.com/estero-pdfs/01192022 minutes.pdf
01202016 minutes.pdf,"January 20, 2016",2016-01-20,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",10:00 am,10:37 am,Approved the agenda | Approved the Consent Agenda | Adopted Ordinance No. 2016-01 | Continued this item to a date when the staff report is available | Approved the Council Appointments list | Approved the proposal from Trebilcock Consulting Solutions and waived the competitive bidding procedures outlined in the Village purchasing ordinance | Approved the application going forward as meeting the criteria for an exception to the Zoning in Progress Resolution | Adopted Ordinance No. 2015-21 as revised and described by Community Development Director Gibbs,SS,Accepted,https://your-website.com/estero-pdfs/01202016 minutes.pdf
01202021 minutes.pdf,"January 20, 2021",2021-01-20,Village Council,"Corkscrew Road and US 41, Estero, FL",9:30 am,11:41 am,"Approved to permit Councilmembers Levitan, and Wilson to participate remotely in Zoom Presentation, and to combine agenda items 7(a)/6(b) | Approved the Consent Agenda | Approved Motion to approve award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services as provided in the contract for a one-year period, at a rate of $127,075.00 per year, authorize the Village Manager to renegotiate and execute the renewal of this contract for three additional one year terms under the same terms and conditions, which would include adding Estero Parkway maintenance and US 41 maintenance, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $13,000 (10% contingency) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Approved Ordinance 2020-11 with the change to Section 2, adding one additional condition that says the Village Manager may waive the agreement that the traffic light be operational prior to the first certificate of completion for the vertical development, if the Village Manager determines that the light will be operational within four months | Motion to approve Estero Crossing - Corkscrew Road/Puente Lane Traffic Signal Agreement with the revision to remove the last s",TD/CS,Accepted,https://your-website.com/estero-pdfs/01202021 minutes.pdf
01222025 Minutes.pdf,"January 22, 2025",2025-01-22,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:21 am,Approved agenda | Approved consent agenda | Approved the Alternate Master Plan | Adopted Ordinance No. 2025-01,TD/CS,Accepted,https://your-website.com/estero-pdfs/01222025 Minutes.pdf
