Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
06012022 minutes.pdf,"June 1, 2022",2022-06-01,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved agenda. | Approved the Consent Agenda . | Approveda Joint Resolution with Lee County for participation in CDBG and related Programs, authorize Mayor to sign and forward to Lee County. | Approved termination as of June 1, 2022, CN 2020- 01 Miscellaneous Professional Services to allow for the immediate use of the firms approved under CN 2022- 06. | Approved the recommendation of the evaluation committee to select all 36 consulting firms that submitted Letters of Interest under CN 2022- 06, for a contract period of three (3) years (with the option at | Authorize d the Village Manager to execute agreements for individual projects as needed at or below $50,",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06012022%20minutes.pdf
Cancel 042716 Council Meeting.pdf,"April 27, 2016",2016-04-27,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,,Meeting Cancelled,,Cancelled,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/Cancel%20042716%20Council%20Meeting.pdf
12062023 minutes.pdf,"JANUARY 3, 2024",2024-01-03,Village Council,"River Oaks Preserve, Estero, FL",9:30 am,11:59 am,"Approved consent agenda. | Approved Construction Manager At Risk agreement between Village of Estero and Wright Construction Group, Inc. and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by | Approved award of Supplemental Task Authorization 02 to Contract EC 2022-35 to Kimley Horn to provide preliminary design services for the River Oaks Preserve for $97,900, approve a $10,000 contingency for additional services that may be required to complete the project, and Village",ON/IN,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12062023%20minutes.pdf
060717 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda. | Approved the Consent Agenda. | Adopted Resolution No. 2017-13. | Adopted Resolution No. 2017-14. | Adopted Resolution No. 2017-15. | Approved (1) Waiver to competitive bidding procedures; and (2) Agreement with J.R. Evans Engineering for continuing consulting services related to the Village's participation in the National Flood Insurance Program (NFIP) and Community Rating System (CRS) program.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/060717%20Council%20Meeting%20Approved%20Minutes.pdf
10182023 minutes.pdf,"October 18, 2023",2023-10-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved consent agenda with agenda.,OV/AG,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10182023%20minutes.pdf
04052023 minutes.pdf,"APRIL 19, 2023",2023-04-19,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the Consent Agenda . | A dopted Resolution No. 2023- 07. Village | A dopted Resolution No. 2023- 08.,ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04052023%20minutes.pdf
2019-07-10 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"Coconut Road, Estero, FL",9:30 am,Unknown,"Approved the agenda with revisions. | Approved the Consent Agenda, pulling Agenda Item 4 (c) First Reading of Ordinances Amending/Repealing Lee County Regulations for discussion under Agenda Item (5). | Passed first reading of Ordinances No. 2019-14 through 201 9-20 and schedules second reading and | Authorized the Village Manager to sign the letter of support to Ms. Rona Kay Cradit, Bureau Chief, Office of Criminal Justice Grants, Florida Department of Law Enforcement. | 1) Approved the contract with Kisinger Campo & Associates, Corp.to provide professional engineering services to proceed with the design and permitting services work required for the Coconut Road Crosswalks and Drainage Impr",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-07-10%20Council%20Meeting%20Approved%20Minutes.pdf
021016 Council Regular Meeting Approved Minutes.pdf,"MARCH 16, 2016",2016-03-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda, revising minutes as necessary. | Appointed Robert King as Village CAC Representative to MPO. | Accepted the letter of resignation from Jeffrey Mass dated January 12, 2016 and directed the Village Clerk to advertise the vacancy and solicit applications. | Adopted Resolution 2016-05 as amended. | Authorized the Mayor to sign the letter and approved and endorsed the white paper entitled ""Caloosahatchee Watershed Regional Water Management Issues."" | Adopted Resolution No. 2016-04.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/021016%20Council%20Regular%20Meeting%20Approved%20Minutes.pdf
031715 Regular Meeting Minutes.pdf,"MARCH 17, 2015",2015-03-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,ES/FL,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/031715%20Regular%20Meeting%20Minutes.pdf
09092021 Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,6:55 pm,"Approved the consent agenda. | Approved the Development Order with the additional modifications shown on the attached plan. | Approved Supplemental Task Authorization (STA)-2 under RFQ 2019-03 Miscellaneous Contractor Services to Pavement Maintenance, LLC for the engagement of a Contractor to acquire and install bus benches at four (4) locations (Pine Tree Lane, S herrill Lane, Leuttich Lane, and Poinciana Avenue) along BroadwayAvenue West at a total cost of $60,008.22, approve a contingency fund amount of $6,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, an d authorize the Village Manager to execute the STA on behalf of the Village",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09092021%20Minutes.pdf
