item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at
1,1,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,
2,1,2,Consent Agenda,,,"December 13, 2023 Special Village Council Meeting Minutes",,,"December 13, 2023 Special Village Council Meeting Minutes. Action: Approved consent agenda",Approved consent agenda,,Detected,
3,1,3,Vote,,,Village of Estero Information Security Policy,,,Village of Estero Information Security Policy. Action: Adopted the Village of Estero Information Security Policy,Adopted the Village of Estero Information Security Policy,,Detected,
4,1,4,Unknown,,Pro Energy,"Approval of code enforcement lien compromise payment from Pro Energy, LLC",,"8800 Corkscrew Road, Estero, FL","Approval of code enforcement lien compromise payment from Pro Energy, LLC. Action: Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",,,
5,1,5,Contract Approval,2024-07,Johnson Engineering,Village Wide Traffic Study Contract,,Bella Terra,"Village Wide Traffic Study Contract. Action: Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study",,Detected,
6,1,6,Contract Approval,2024-06,Florida Acquisition Services,Right of Way Acquisition Services Contract,,,Right of Way Acquisition Services Contract. Action: Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,,Detected,
7,1,7,Contract Approval,2022-83,National Water Main Cleaning Company,"Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1",,Estero Bay Village Septic Area,"Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1. Action: Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company","Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company",,Detected,
8,2,1,Consent Agenda,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda as revised: pulled agenda item 3 (b) from the Consent Agenda and rescheduled for the January 18, 2017 Council meeting; removed agenda item 10 (b) and delayed discussion until it is determined whether there will be a Village election in March","Approved the agenda as revised: pulled agenda item 3 (b) from the Consent Agenda and rescheduled for the January 18, 2017 Council meeting; removed agenda item 10 (b) and delayed discussion until it is determined whether there will be a Village election in March",,Detected,
9,2,2,Consent Agenda,2017-01,,"Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date",,,"Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date. Action: Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting","Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting",,Detected,
10,2,3,Resolution,2017-02,,"Resolution No. 2017-02 A Resolution of the Village Council of the Village of Estero, Florida, Adopting Fees for the Review of Commercial and Residential Right-of-Way Permits; Amending Resolution No. 2015-68; and Providing an Effective Date",,,"Resolution No. 2017-02 A Resolution of the Village Council of the Village of Estero, Florida, Adopting Fees for the Review of Commercial and Residential Right-of-Way Permits; Amending Resolution No. 2015-68; and Providing an Effective Date. Action: Adopted Resolution No. 2017-02",Adopted Resolution No. 2017-02,,Detected,
