AgendaItemID,MeetingDate,ProjectTitle,LocationName,Location,Latitude,Longitude,CoordinateType,GeocodeConfidence,GeocodeSource,GeocoderDisplayName,EvidenceStatus,EvidenceReason,EvidenceSnippet,Document_Link
364,2017-04-24,"APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena R",10611 Chevrolet Way,"10611 Chevrolet Way, Estero, FL",26.4298554,-81.7804136,address_point,0.7,nominatim,"Hampton Inn & Suites Ft. Myers-Estero, 10611, Chevrolet Way, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena Room 10611 Chevrolet Way Estero, FL 33928 Village Council Organizational Business Meeting April 24, 2017 8:30 a.m. 1. CALL TO ORDER AND ROLL CALL: Mayor Boesch called the meeting to order at 9:00 a.m. Roll Call: Present: Mayor Jim Boesch - District 5, Vice Mayor Bill Ribble, District 1, Councilmember Howard Levitan - District 2, Councilmember Katy Errington - District 4, Councilmember Nick Batos - Distric...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/042417%20Council%20Organizational%20Business%20Meeting%20Approved%20Minutes.pdf
954,2023-10-04,Lien Mitigation 20275 Sherrill Lane Case No. 18040009,20275 Sherrill Ln,"20275 Sherrill Ln, Estero, FL",26.4457620,-81.8287120,address_point,0.7,nominatim,"20275, Sherrill Lane, Breckenridge, Riverwoods Plantation, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Lien Mitigation 20275 Sherrill Lane Case No. 18040009. Action: Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000.00",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/10042023%20minutes.pdf
80,2024-01-24,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,20897 Three Oaks Parkway,"20897 Three Oaks Parkway, Estero, FL",26.4536978,-81.7888904,address_point,0.7,nominatim,"Three Oaks Parkway, Coastal Village Apartments, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero. Action: Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01242024%20minutes.pdf
468,2016-05-24,"APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Vi",21115 Design Parc Lane,"21115 Design Parc Lane, Estero, FL",26.4317010,-81.7996992,address_point,0.7,nominatim,"21115, Design Parc Lane, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Village of Estero Village Council Workshop Held at Legacy Church 21115 Design Pare Lane Estero, FL 33928 May 24, 2016 5:30 p.m. 2. Pledge of Allegiance: Led by Mayor Batos. 3. Invocation: Offered by Pastor Nolen Rollins. 4. Roll Call: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Katy Errington - District 4, Councilmembe...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/052416%20Council%20Workshop%20Meeting%20Approved%20Minutes.pdf
175,2017-02-28,"APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City ",21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,address_point,0.7,nominatim,"21500, Three Oaks Parkway, Colonial Oaks, Shadow Wood, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City of Bonita Springs Joint Workshop Estero Fire Rescue 21500 Three Oaks Parkway Estero, FL 33928 February 28, 2017 10:00 a.m. 1. CALL TO ORDER AND WELCOME: 10:00 a.m. - Mayors Batos and Simmons 2. PLEDGE OF ALLEGIANCE: Led by Mayor Simmons. 3. ROLL CALL: Present - Village ofEstero: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble - District 1, Councilmember Do...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/022817%20Joint%20Workshop%20with%20Bonita%20Springs%20City%20Council%20Approved%20Minutes.pdf
1089,2015-11-13,"approved as presented: December 16, 2015 Village Council Special Meeting Minutes - Novembe",21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,address_point,0.7,nominatim,"21500, Three Oaks Parkway, Colonial Oaks, Shadow Wood, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"approved as presented: December 16, 2015 Village Council Special Meeting Minutes - November 13, 2015 Nicholas Batos Mayor Page 3 of3 VILLAGE COUNCIL WORKSHOP OF NOVEMER 13, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Counci...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/11132015%20minutes.pdf
905,2015-09-23,"approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The ",21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,address_point,0.7,nominatim,"21500, Three Oaks Parkway, Colonial Oaks, Shadow Wood, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmembe...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/09232015%20minutes.pdf
1375,2020-01-08,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,address_point,0.98,arcgis_world_geocoder,"4410 Coconut Rd, Bonita Springs, Florida, 34134",supported,exact_or_alias,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda as revised: Continue until January 22, 2020, 9:30 a.m., Agenda Item 9 (a) Ordinance No. 2019-30 Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida. Village Council Meeting Notes - January 8, 2020 Page 1 of6",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf
1371,2019-12-04,"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Prope...",4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,address_point,0.98,arcgis_world_geocoder,"4410 Coconut Rd, Bonita Springs, Florida, 34134",supported,exact_or_alias,"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Property Loca. Action: Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20191204%20Council%20Meeting%20Approved%20Minutes.pdf
800,2022-09-08,Imperial Parkway Monument Sign Contract,645 feet south of Salerno Bay Road,"645 feet south of Salerno Bay Road, Estero, FL",26.392585349452,-81.783956541579,address_point,0.88,arcgis_world_geocoder,"Salerno Bay Rd, Bonita Springs, Florida, 34135",supported,exact_or_alias,"Imperial Parkway Monument Sign Contract. Action: Approved Supplemental Task Authorization (STA)-28 under RFQ 2019- 03 Miscellaneous Contractor Services to P & T Lawn and Tractor Service, Inc. for the engagement of a Contractor to construct and install a monument sign on Imperial Parkway (in the roadway median at the Village's southern limits approximately 645 feet south of Salerno Bay Road) at a total cost of $58,941.50, approve a contingency fund amount of $5,890 (an amount equal to 10% of t...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/09082022%20minutes.pdf
4,2024-01-03,"Approval of code enforcement lien compromise payment from Pro Energy, LLC",8800 Corkscrew Road,"8800 Corkscrew Road, Estero, FL",26.4314144,-81.8086842,address_point,0.7,nominatim,"8800, Corkscrew Road, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Approval of code enforcement lien compromise payment from Pro Energy, LLC. Action: Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01032024%20minutes.pdf
