ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
"APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena R",Village Council,Organizational Meeting,Village Council,2017-04-24,2017-04-24,2017,Accepted,364,1,Vote,"APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena R","APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena Room 10611 Chevrolet Way Estero, FL 33928 Village Council Organizational Business Meeting April 24, 2017 8:30 a.m. 1. CALL TO ORDER AND ROLL CALL: Mayor Boesch called the meeting to order at 9:00 a.m. Roll Call: Present: Mayor Jim Boesch - District 5, Vice Mayor Bill Ribble, District 1, Councilmember Howard Levitan - District 2, Councilmember Katy Errington - District 4, Councilmember Nick Batos - Distric...","APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena Room 10611 Chevrolet Way Estero, FL 33928 Village Council Organizational Business Meeting April 24, 2017 8:30 a.m. 1. CALL TO ORDER AND ROLL CALL: Mayor Boesch called the meeting to order at 9:00 a.m. Roll Call: Present: Mayor Jim Boesch - District 5, Vice Mayor Bill Ribble, District 1, Councilmember Howard Levitan - District 2, Councilmember Katy Errington - District 4, Councilmember Nick Batos - District 6, and Councilmember Jim Wilson - District 7. Absent: Councilmember Donald Brown, District 3. Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. Mayor Boesch led the Pledge of Allegiance and offered the invocation. 2","APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena Room 10611 Chevrolet Way Estero, FL 33928 Village Council Organizational Business Meeting April 24, 2017 8:30 a.m. 1. CALL TO ORDER AND ROLL CALL: Mayor Boesch called the meeting to order at 9:00 a.m. Roll Call: Present: Mayor Jim Boesch - District 5, Vice Mayor Bill Ribble, District 1, Councilmember Howard Levitan - District 2, Councilmember Katy Errington - District 4, Councilmember Nick Batos - District 6, and Councilmember Jim Wilson - District 7. Absent: Councilmember Donald Brown, District 3. Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. Mayor Boesch led the Pledge of Allegiance and offered the invocation. 2","APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena Room 10611 Chevrolet Way Estero, FL 33928 Village Council Organizational Business Meeting April 24, 2017 8:30 a.m. 1. CALL TO ORDER AND ROLL CALL: Mayor Boesch called the meeting to order at 9:00 a.m. Roll Call: Present: Mayor Jim Boesch - District 5, Vice Mayor Bill Ribble, District 1, Councilmember Howard Levitan - District 2, Councilmember Katy Errington - District 4, Councilmember Nick Batos - District 6, and Councilmember Jim Wilson - District 7. Absent: Councilmember Donald Brown, District 3. Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. Mayor Boesch led the Pledge of Allegiance and offered the invocation. 2",,,Detected,,,5,10611 Chevrolet Way,"10611 Chevrolet Way, Estero, FL",26.4298554,-81.7804136,0.7,DR/GR,042417 Council Organizational Business Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/042417%20Council%20Organizational%20Business%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Lien Mitigation 20275 Sherrill Lane Case No. 18040009,Village Council,Regular Meeting,Village Council,2023-10-04,2023-10-04,2023,Accepted,954,5,Vote,Lien Mitigation 20275 Sherrill Lane Case No. 18040009,"Lien Mitigation 20275 Sherrill Lane Case No. 18040009. Action: Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000.00","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000.00","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000.00","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000.00",,,Detected,,ff,,20275 Sherrill Ln,"20275 Sherrill Ln, Estero, FL",26.4457620,-81.8287120,0.7,TD/CS,10042023 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/10042023%20minutes.pdf,AgendaItemLocation
Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Village Council,Regular Meeting,Village Council,2024-01-24,2024-01-24,2024,Accepted,80,7,Contract Approval,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero. Action: Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,,,Detected,,,,20897 Three Oaks Parkway,"20897 Three Oaks Parkway, Estero, FL",26.4536978,-81.7888904,0.7,TD/CS,01242024 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01242024%20minutes.pdf,AgendaItemLocation
Budget / Capital Improvement,Village Council,Workshop,Workshop,2016-05-24,2016-05-24,2016,Accepted,468,1,Administrative,"APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Vi","APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Village of Estero Village Council Workshop Held at Legacy Church 21115 Design Pare Lane Estero, FL 33928 May 24, 2016 5:30 p.m. 2. Pledge of Allegiance: Led by Mayor Batos. 3. Invocation: Offered by Pastor Nolen Rollins. 4. Roll Call: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Katy Errington - District 4, Councilmembe...","APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Village of Estero Village Council Workshop Held at Legacy Church 21115 Design Pare Lane Estero, FL 33928 May 24, 2016 5:30 p.m. 2. Pledge of Allegiance: Led by Mayor Batos. 3. Invocation: Offered by Pastor Nolen Rollins. 4. Roll Call: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Absent: Councilmember Donald Brown - District 3 (excused absence). Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, Village Clerk Kathy Hall, and Finance Director Lisa Pace. 5. Mayor Nick Batos - Welcome and Introduction 6. Village Manager Steve Sarkozy - Presentation: Capital Improvement Program and Budget Overview Village Manager Sarkozy provided a brief overview and explained that the Village wou...","APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Village of Estero Village Council Workshop Held at Legacy Church 21115 Design Pare Lane Estero, FL 33928 May 24, 2016 5:30 p.m. 2. Pledge of Allegiance: Led by Mayor Batos. 3. Invocation: Offered by Pastor Nolen Rollins. 4. Roll Call: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Absent: Councilmember Donald Brown - District 3 (excused absence). Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, Village Clerk Kathy Hall, and Finance Director Lisa Pace. 5. Mayor Nick Batos - Welcome and Introduction 6. Village Manager Steve Sarkozy - Presentation: Capital Improvement Program and Budget Overview Village Manager Sarkozy provided a brief overview and explained that the Village wou...","APPROVED BY COUNCIL JULY 6,2016 FINAL ACTION AGENDA/MINUTES 1. Call to Order: 5:30 p.m. Village of Estero Village Council Workshop Held at Legacy Church 21115 Design Pare Lane Estero, FL 33928 May 24, 2016 5:30 p.m. 2. Pledge of Allegiance: Led by Mayor Batos. 3. Invocation: Offered by Pastor Nolen Rollins. 4. Roll Call: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Absent: Councilmember Donald Brown - District 3 (excused absence). Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, Village Clerk Kathy Hall, and Finance Director Lisa Pace. 5. Mayor Nick Batos - Welcome and Introduction 6. Village Manager Steve Sarkozy - Presentation: Capital Improvement Program and Budget Overview Village Manager Sarkozy provided a brief overview and explained that the Village wou...",,,Detected,,,6,21115 Design Parc Lane,"21115 Design Parc Lane, Estero, FL",26.4317010,-81.7996992,0.7,DA/MI,052416 Council Workshop Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/052416%20Council%20Workshop%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City ",Village Council,Joint Workshop,Workshop,2017-02-28,2017-02-28,2017,Accepted,175,1,Administrative,"APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City ","APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City of Bonita Springs Joint Workshop Estero Fire Rescue 21500 Three Oaks Parkway Estero, FL 33928 February 28, 2017 10:00 a.m. 1. CALL TO ORDER AND WELCOME: 10:00 a.m. - Mayors Batos and Simmons 2. PLEDGE OF ALLEGIANCE: Led by Mayor Simmons. 3. ROLL CALL: Present - Village ofEstero: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble - District 1, Councilmember Do...","APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City of Bonita Springs Joint Workshop Estero Fire Rescue 21500 Three Oaks Parkway Estero, FL 33928 February 28, 2017 10:00 a.m. 1. CALL TO ORDER AND WELCOME: 10:00 a.m. - Mayors Batos and Simmons 2. PLEDGE OF ALLEGIANCE: Led by Mayor Simmons. 3. ROLL CALL: Present - Village ofEstero: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble - District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, and Councilmember Jim Wilson - District 7. Absent: Councilmember Jim Boesch - District 5 (excused absence). Present - City of Bonita Springs: Mayor Peter Simmons, Deputy Mayor Peter O'Flinn - District 4, Council Member Amy Quaremba - District 1, Council Member Greg DeWitt - District 2, Council Member Steven Slachta - District 3, Council Member Michael Gibson - District 5, and Council Member Fred Forbes, AIA - District 6. Also pr...","APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City of Bonita Springs Joint Workshop Estero Fire Rescue 21500 Three Oaks Parkway Estero, FL 33928 February 28, 2017 10:00 a.m. 1. CALL TO ORDER AND WELCOME: 10:00 a.m. - Mayors Batos and Simmons 2. PLEDGE OF ALLEGIANCE: Led by Mayor Simmons. 3. ROLL CALL: Present - Village ofEstero: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble - District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, and Councilmember Jim Wilson - District 7. Absent: Councilmember Jim Boesch - District 5 (excused absence). Present - City of Bonita Springs: Mayor Peter Simmons, Deputy Mayor Peter O'Flinn - District 4, Council Member Amy Quaremba - District 1, Council Member Greg DeWitt - District 2, Council Member Steven Slachta - District 3, Council Member Michael Gibson - District 5, and Council Member Fred Forbes, AIA - District 6. Also pr...","APPROVED BY COUNCIL MARCH 15, 2017 FINAL ACTION AGENDA/MINUTES Village of Estero and City of Bonita Springs Joint Workshop Estero Fire Rescue 21500 Three Oaks Parkway Estero, FL 33928 February 28, 2017 10:00 a.m. 1. CALL TO ORDER AND WELCOME: 10:00 a.m. - Mayors Batos and Simmons 2. PLEDGE OF ALLEGIANCE: Led by Mayor Simmons. 3. ROLL CALL: Present - Village ofEstero: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble - District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, and Councilmember Jim Wilson - District 7. Absent: Councilmember Jim Boesch - District 5 (excused absence). Present - City of Bonita Springs: Mayor Peter Simmons, Deputy Mayor Peter O'Flinn - District 4, Council Member Amy Quaremba - District 1, Council Member Greg DeWitt - District 2, Council Member Steven Slachta - District 3, Council Member Michael Gibson - District 5, and Council Member Fred Forbes, AIA - District 6. Also pr...",,,Detected,,,6,21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,0.7,,022817 Joint Workshop with Bonita Springs City Council Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/022817%20Joint%20Workshop%20with%20Bonita%20Springs%20City%20Council%20Approved%20Minutes.pdf,AgendaItemLocation
"approved as presented: December 16, 2015 Village Council Special Meeting Minutes - Novembe",Village Council,Special Meeting,Village Council,2015-11-13,2015-11-13,2015,Accepted,1089,1,Administrative,"approved as presented: December 16, 2015 Village Council Special Meeting Minutes - Novembe","approved as presented: December 16, 2015 Village Council Special Meeting Minutes - November 13, 2015 Nicholas Batos Mayor Page 3 of3 VILLAGE COUNCIL WORKSHOP OF NOVEMER 13, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Counci...","approved as presented: December 16, 2015 Village Council Special Meeting Minutes - November 13, 2015 Nicholas Batos Mayor Page 3 of3 VILLAGE COUNCIL WORKSHOP OF NOVEMER 13, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Also present: Village Manager Peter Lombardi, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. 1. CALL TO ORDER Mayor Batos called the meeting to order at 10:18 a.m. 2. ROLLCALL Village Clerk Kathy Hall called the roll; all members were present. 3. APPROVAL OF AGENDA Mayor Batos removed agenda item 3 (B). Councilmember Ribble moved approval of the agenda as amended,...","approved as presented: December 16, 2015 Village Council Special Meeting Minutes - November 13, 2015 Nicholas Batos Mayor Page 3 of3 VILLAGE COUNCIL WORKSHOP OF NOVEMER 13, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Also present: Village Manager Peter Lombardi, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. 1. CALL TO ORDER Mayor Batos called the meeting to order at 10:18 a.m. 2. ROLLCALL Village Clerk Kathy Hall called the roll; all members were present. 3. APPROVAL OF AGENDA Mayor Batos removed agenda item 3 (B). Councilmember Ribble moved approval of the agenda as amended,...","approved as presented: December 16, 2015 Village Council Special Meeting Minutes - November 13, 2015 Nicholas Batos Mayor Page 3 of3 VILLAGE COUNCIL WORKSHOP OF NOVEMER 13, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Also present: Village Manager Peter Lombardi, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. 1. CALL TO ORDER Mayor Batos called the meeting to order at 10:18 a.m. 2. ROLLCALL Village Clerk Kathy Hall called the roll; all members were present. 3. APPROVAL OF AGENDA Mayor Batos removed agenda item 3 (B). Councilmember Ribble moved approval of the agenda as amended,...",,,Unanimous,,onomic,6,21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,0.7,SS,11132015 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/11132015%20minutes.pdf,AgendaItemLocation
"approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The ",Village Council,Special Meeting,Village Council,2015-09-23,2015-09-23,2015,Accepted,905,1,Resolution,"approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The ","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmembe...","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. - Also present: Village Manager Peter Lombardi, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. 1. CALL TO ORDER Mayor Batos called the meeting to order at 12:01 p.m. 2. PLEDGE OF ALLEGIANCE The Pledge of Allegiance was conducted at the preceding Special Council meeting. 3. ROLL CALL Village Clerk Kathy Hall called the roll; all members were present. 4. APPROVAL OF AGENDA A motion to approve the agenda was not made. 5. COUNCIL BUSINESS (A) _ Discussion: S...","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. - Also present: Village Manager Peter Lombardi, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. 1. CALL TO ORDER Mayor Batos called the meeting to order at 12:01 p.m. 2. PLEDGE OF ALLEGIANCE The Pledge of Allegiance was conducted at the preceding Special Council meeting. 3. ROLL CALL Village Clerk Kathy Hall called the roll; all members were present. 4. APPROVAL OF AGENDA A motion to approve the agenda was not made. 5. COUNCIL BUSINESS (A) _ Discussion: S...","approved as presented: October 7, 2015 VILLAGE COUNCIL WORKSHOP OF SEPTEMBER 23, 2015 The Village of Estero Council Workshop was held on this date at the Estero Fire Rescue District Meeting Room, 21500 Three Oaks Parkway, Estero, Florida. Present: Mayor Nick Batos - District 6, Vice-Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Katy Errington - District 4, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. - Also present: Village Manager Peter Lombardi, Village Attorney Burt Saunders, and Village Clerk Kathy Hall. 1. CALL TO ORDER Mayor Batos called the meeting to order at 12:01 p.m. 2. PLEDGE OF ALLEGIANCE The Pledge of Allegiance was conducted at the preceding Special Council meeting. 3. ROLL CALL Village Clerk Kathy Hall called the roll; all members were present. 4. APPROVAL OF AGENDA A motion to approve the agenda was not made. 5. COUNCIL BUSINESS (A) _ Discussion: S...",,,Detected,The Brooks Executive Suites,ted,6,21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,0.7,null,09232015 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/09232015%20minutes.pdf,AgendaItemLocation
"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",Village Council,Regular Meeting,Village Council,2020-01-08,2020-01-08,2020,Accepted,1375,1,Ordinance,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda as revised: Continue until January 22, 2020, 9:30 a.m., Agenda Item 9 (a) Ordinance No. 2019-30 Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida. Village Council Meeting Notes - January 8, 2020 Page 1 of6","Approved the agenda as revised: Continue until January 22, 2020, 9:30 a.m., Agenda Item 9 (a) Ordinance No. 2019-30 Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida. Village Council Meeting Notes - January 8, 2020 Page 1 of6","Approved the agenda as revised: Continue until January 22, 2020, 9:30 a.m., Agenda Item 9 (a) Ordinance No. 2019-30 Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida. Village Council Meeting Notes - January 8, 2020 Page 1 of6","Approved the agenda as revised: Continue until January 22, 2020, 9:30 a.m., Agenda Item 9 (a) Ordinance No. 2019-30 Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida. Village Council Meeting Notes - January 8, 2020 Page 1 of6",,,Detected,,2019-30,,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,0.98,,2020-01-08 Council Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Prope...",Village Council,Regular Meeting,Village Council,2019-12-04,2019-12-04,2019,Accepted,1371,8,Ordinance,"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Prope...","Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Property Loca. Action: Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020",,,Detected,,2019-30,,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,0.98,,20191204 Council Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20191204%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Imperial Parkway Monument Sign Contract,Village Council,Budget Hearing,Public Hearing,2022-09-08,2022-09-08,2022,Accepted,800,6,Contract Approval,Imperial Parkway Monument Sign Contract,"Imperial Parkway Monument Sign Contract. Action: Approved Supplemental Task Authorization (STA)-28 under RFQ 2019- 03 Miscellaneous Contractor Services to P & T Lawn and Tractor Service, Inc. for the engagement of a Contractor to construct and install a monument sign on Imperial Parkway (in the roadway median at the Village's southern limits approximately 645 feet south of Salerno Bay Road) at a total cost of $58,941.50, approve a contingency fund amount of $5,890 (an amount equal to 10% of t...","Approved Supplemental Task Authorization (STA)-28 under RFQ 2019- 03 Miscellaneous Contractor Services to P & T Lawn and Tractor Service, Inc. for the engagement of a Contractor to construct and install a monument sign on Imperial Parkway (in the roadway median at the Village's southern limits approximately 645 feet south of Salerno Bay Road) at a total cost of $58,941.50, approve a contingency fund amount of $5,890 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero Council","Approved Supplemental Task Authorization (STA)-28 under RFQ 2019- 03 Miscellaneous Contractor Services to P & T Lawn and Tractor Service, Inc. for the engagement of a Contractor to construct and install a monument sign on Imperial Parkway (in the roadway median at the Village's southern limits approximately 645 feet south of Salerno Bay Road) at a total cost of $58,941.50, approve a contingency fund amount of $5,890 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero Council","Approved Supplemental Task Authorization (STA)-28 under RFQ 2019- 03 Miscellaneous Contractor Services to P & T Lawn and Tractor Service, Inc. for the engagement of a Contractor to construct and install a monument sign on Imperial Parkway (in the roadway median at the Village's southern limits approximately 645 feet south of Salerno Bay Road) at a total cost of $58,941.50, approve a contingency fund amount of $5,890 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero Council",,,Detected,,2019-,,645 feet south of Salerno Bay Road,"645 feet south of Salerno Bay Road, Estero, FL",26.392585349452,-81.783956541579,0.88,TD/CS,09082022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/09082022%20minutes.pdf,AgendaItemLocation
