ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
BERT Rail Trail,Village Council,Regular Meeting,Village Council,2023-05-03,2023-05-03,2023,Accepted,,,,Village Council Meeting Minutes — 2023-05-03,"Approved agenda with combining 4a into 8a, 8b, and 8c | Approved the Consent Agenda | Adopted Resolution No. 2023-09 | Approved the award of Supplemental Task authorization 04 to Contract EC 2023-38 to Johnson Engineering, Inc. for the Phase 1 Estero Parkway Reuse Main Design, Permit and Grant Funding Assistance at a cost of $89,858.00, approve a $9,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and...","Approved agenda with combining 4a into 8a, 8b, and 8c | Approved the Consent Agenda | Adopted Resolution No. 2023-09 | Approved the award of Supplemental Task authorization 04 to Contract EC 2023-38 to Johnson Engineering, Inc. for the Phase 1 Estero Parkway Reuse Main Design, Permit and Grant Funding Assistance at a cost of $89,858.00, approve a $9,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved the consultants ranking for Williams Road Widening Preliminary Design and Engineering Project as follows: Number 1 - Kisinger Campo & Associates; Number 2 - Q. Grady Minor & Associates; Number 3 - Kimley-Horn and Associates, authorize staff to negotiate a contract with the Number 1 ranked firm, Kisinger Campo & Associates, to provide professional consulting services for the...","Approved agenda with combining 4a into 8a, 8b, and 8c | Approved the Consent Agenda | Adopted Resolution No. 2023-09 | Approved the award of Supplemental Task authorization 04 to Contract EC 2023-38 to Johnson Engineering, Inc. for the Phase 1 Estero Parkway Reuse Main Design, Permit and Grant Funding Assistance at a cost of $89,858.00, approve a $9,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved the consultants ranking for Williams Road Widening Preliminary Design and Engineering Project as follows: Number 1 - Kisinger Campo & Associates; Number 2 - Q. Grady Minor & Associates; Number 3 - Kimley-Horn and Associates, authorize staff to negotiate a contract with the Number 1 ranked firm, Kisinger Campo & Associates, to provide professional consulting services for the...",,,,,,,,BERT Rail Trail Corridor,BERT Rail Trail Corridor,26.433900,-81.815700,1.0,ON/KE,04192023 minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/04192023%20minutes.pdf,MeetingLocation
BERT Rail Trail,Village Council,Regular Meeting,Village Council,2023-07-05,2023-07-05,2023,Accepted,,,,Village Council Meeting Minutes — 2023-07-05,"Approved agenda with moving 7 (a) to the start of the meeting and 6 (h)to follow | Approved the Consent Agenda | Approved Ordinance No. 2023-06 with the Council revisions | Approved the terms set forth in the Chicken N Pickle and High 5 term sheets dated July 5th, 2023, and to authorize the Village Manager to proceed with negotiating a final Public Private Partnership Agreement and related CAM and lease agreements with each company based on these terms | Adopted Resolution No. 2023-12 | Appro...","Approved agenda with moving 7 (a) to the start of the meeting and 6 (h)to follow | Approved the Consent Agenda | Approved Ordinance No. 2023-06 with the Council revisions | Approved the terms set forth in the Chicken N Pickle and High 5 term sheets dated July 5th, 2023, and to authorize the Village Manager to proceed with negotiating a final Public Private Partnership Agreement and related CAM and lease agreements with each company based on these terms | Adopted Resolution No. 2023-12 | Approved Comprehensive Annual Financial Report | Approved award of Supplemental Task Authorization 06 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $146,340, approve a $14,600 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved of RF...","Approved agenda with moving 7 (a) to the start of the meeting and 6 (h)to follow | Approved the Consent Agenda | Approved Ordinance No. 2023-06 with the Council revisions | Approved the terms set forth in the Chicken N Pickle and High 5 term sheets dated July 5th, 2023, and to authorize the Village Manager to proceed with negotiating a final Public Private Partnership Agreement and related CAM and lease agreements with each company based on these terms | Adopted Resolution No. 2023-12 | Approved Comprehensive Annual Financial Report | Approved award of Supplemental Task Authorization 06 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $146,340, approve a $14,600 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved of RF...",,,,,,,,BERT Rail Trail Corridor,BERT Rail Trail Corridor,26.433900,-81.815700,1.0,ON/CO,07052023 minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/07052023%20minutes.pdf,MeetingLocation
BERT Rail Trail,Village Council,Regular Meeting,Village Council,2024-02-21,2024-02-21,2024,Accepted,,,,Village Council Meeting Minutes — 2024-02-21,"Approved agenda | Approved consent agenda | Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of...","Approved agenda | Approved consent agenda | Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council | Passed first reading of Ordinance No. 2024-03 and set second reading for March 6, 2024","Approved agenda | Approved consent agenda | Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council | Passed first reading of Ordinance No. 2024-03 and set second reading for March 6, 2024",,,,,,,,BERT Rail Trail Corridor,BERT Rail Trail Corridor,26.433900,-81.815700,1.0,ON/CO,02212024 minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/02212024%20minutes.pdf,MeetingLocation
BERT Rail Trail,Village Council,Regular Meeting,Village Council,2024-05-15,2024-05-15,2024,Accepted,,,,Village Council Meeting Minutes — 2024-05-15,"Approved agenda with noting a replacement of Resolution for 7(e), 2024-08 that has been added to the desk packet as the consultants recommended more detailed language to the resolution but the substance has not changed | Approved consent agenda | Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related doc...","Approved agenda with noting a replacement of Resolution for 7(e), 2024-08 that has been added to the desk packet as the consultants recommended more detailed language to the resolution but the substance has not changed | Approved consent agenda | Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by Council, at a later date | Approved Construction Manager at Risk agreement between Village of Estero and Chris-Tel Construction, Inc. for the Sandy Lane Bike/Ped Improvements Project and to authorize the Village Manager to execute the agreement with an effective date of July 1, 2024 and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Pr...","Approved agenda with noting a replacement of Resolution for 7(e), 2024-08 that has been added to the desk packet as the consultants recommended more detailed language to the resolution but the substance has not changed | Approved consent agenda | Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by Council, at a later date | Approved Construction Manager at Risk agreement between Village of Estero and Chris-Tel Construction, Inc. for the Sandy Lane Bike/Ped Improvements Project and to authorize the Village Manager to execute the agreement with an effective date of July 1, 2024 and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Pr...",,,,,,,,BERT Rail Trail Corridor,BERT Rail Trail Corridor,26.433900,-81.815700,1.0,DA/MI,05012024 minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/05012024%20minutes.pdf,MeetingLocation
BERT Rail Trail,Village Council,Regular Meeting,Village Council,2024-06-05,2024-06-05,2024,Accepted,,,,Village Council Meeting Minutes — 2024-06-05,"Approved agenda with the deletion of the Financial Reports from the Consent Agenda and will be presented June 5th Council meeting | Approved consent agenda | Approved Resolution No. 2024-05 | Approved the Village Manager to execute the High-5 Public Improvement Agreement | Approved that Wright Construction Group is granted a Notice to Proceed on their phase 1 construction costs based on GMP#1 | Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024","Approved agenda with the deletion of the Financial Reports from the Consent Agenda and will be presented June 5th Council meeting | Approved consent agenda | Approved Resolution No. 2024-05 | Approved the Village Manager to execute the High-5 Public Improvement Agreement | Approved that Wright Construction Group is granted a Notice to Proceed on their phase 1 construction costs based on GMP#1 | Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024","Approved agenda with the deletion of the Financial Reports from the Consent Agenda and will be presented June 5th Council meeting | Approved consent agenda | Approved Resolution No. 2024-05 | Approved the Village Manager to execute the High-5 Public Improvement Agreement | Approved that Wright Construction Group is granted a Notice to Proceed on their phase 1 construction costs based on GMP#1 | Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024",,,,,,,,BERT Rail Trail Corridor,BERT Rail Trail Corridor,26.433900,-81.815700,1.0,DA/MI,05152024 minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/05152024%20minutes.pdf,MeetingLocation
BERT Rail Trail,Village Council,Regular Meeting,Village Council,2024-06-19,2024-06-19,2024,Accepted,,,,Village Council Meeting Minutes — 2024-06-19,"Approved agenda | Approved consent agenda | Approved the ranking of construction management firms for RFP 2024-04 as 1-Wright Construction and authorize Village Staff to negotiate a contract with the top ranked firm | Approved the ranking of construction management firms for RFP 2024-02 as recommended by the Village of Estero's selection committee. 1- Manhattan Construction, 2-Wright Construction, 3-Chris Tel Construction, 4-Seagate Development Group, 5 Brooks & Freund, and authorize Village...","Approved agenda | Approved consent agenda | Approved the ranking of construction management firms for RFP 2024-04 as 1-Wright Construction and authorize Village Staff to negotiate a contract with the top ranked firm | Approved the ranking of construction management firms for RFP 2024-02 as recommended by the Village of Estero's selection committee. 1- Manhattan Construction, 2-Wright Construction, 3-Chris Tel Construction, 4-Seagate Development Group, 5 Brooks & Freund, and authorize Village Staff to negotiate a contract with the top ranked firm | Approved the ranking of construction management firms for RFP 2024-03 as recommended by the Village's selection committee. 1 - Wright Construction, 2 - AIM Construction, 3 - Chris Tel Construction, 4 - American Infrastructure Services, and authorize Village Staff to negotiate a contract with the top ranked firm | Passed first reading and schedule second reading for June 19, 2024 | Passed Second Reading of Ordinance No. 2024-06","Approved agenda | Approved consent agenda | Approved the ranking of construction management firms for RFP 2024-04 as 1-Wright Construction and authorize Village Staff to negotiate a contract with the top ranked firm | Approved the ranking of construction management firms for RFP 2024-02 as recommended by the Village of Estero's selection committee. 1- Manhattan Construction, 2-Wright Construction, 3-Chris Tel Construction, 4-Seagate Development Group, 5 Brooks & Freund, and authorize Village Staff to negotiate a contract with the top ranked firm | Approved the ranking of construction management firms for RFP 2024-03 as recommended by the Village's selection committee. 1 - Wright Construction, 2 - AIM Construction, 3 - Chris Tel Construction, 4 - American Infrastructure Services, and authorize Village Staff to negotiate a contract with the top ranked firm | Passed first reading and schedule second reading for June 19, 2024 | Passed Second Reading of Ordinance No. 2024-06",,,,,,,,BERT Rail Trail Corridor,BERT Rail Trail Corridor,26.433900,-81.815700,1.0,DA/MI,06052024 minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/06052024%20minutes.pdf,MeetingLocation
BERT Rail Trail,Village Council,Regular Meeting,Village Council,2025-04-16,2025-04-16,2025,Accepted,,,,Village Council Meeting Minutes — 2025-04-16,"Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-06 | Adopted the First Amendment | Authorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub | Approved award of Contract EC 2022-33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes | Approved the BERT Memorandum of Agreement and to authorize the Village Manager to app...","Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-06 | Adopted the First Amendment | Authorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub | Approved award of Contract EC 2022-33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes | Approved the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement | Approved Ordinance No. 2025-03 on First Reading and schedule Second Reading for April 16, 2025","Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-06 | Adopted the First Amendment | Authorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub | Approved award of Contract EC 2022-33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes | Approved the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement | Approved Ordinance No. 2025-03 on First Reading and schedule Second Reading for April 16, 2025",,,,,,,,BERT Rail Trail Corridor,BERT Rail Trail Corridor,26.433900,-81.815700,1.0,DA/MI,04022025.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/04022025.pdf,MeetingLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2016-06-08,2016-06-08,2016,Accepted,,,,Village Council Meeting Minutes — 2016-06-08,"Approved Councilmember Levitan's attendance via teleconference | Approved the agenda, with the addition of Agenda Item 10 (c) Resolution No. 2019-15 | Approved the Consent Agenda | Adopted Resolution No. 2019-12 | Adopted Resolution No. 2019-13 | Continued first reading of Ordinance No. 2019-27 and referred it to the Design Review Board to review the concems/issues that Councilmembers raised related to: the lack of details in the Pattern Book; landscaping buffer (berm) details on the north si...","Approved Councilmember Levitan's attendance via teleconference | Approved the agenda, with the addition of Agenda Item 10 (c) Resolution No. 2019-15 | Approved the Consent Agenda | Adopted Resolution No. 2019-12 | Adopted Resolution No. 2019-13 | Continued first reading of Ordinance No. 2019-27 and referred it to the Design Review Board to review the concems/issues that Councilmembers raised related to: the lack of details in the Pattern Book; landscaping buffer (berm) details on the north side of the property; additional detail on landscaping along Corkscrew Road and Three Oaks Parkway; the failing condition of the roadway in front of the property; utilities shielding; information related to the opening date of the business and how it coincides with the interchange improvements; reduction of parking spaces and possibility of increasing the number of handicap spaces; vehicle stacking; improvement to the building architecture, specifically the flat surfaces; minimal amount of outdoor...","Approved Councilmember Levitan's attendance via teleconference | Approved the agenda, with the addition of Agenda Item 10 (c) Resolution No. 2019-15 | Approved the Consent Agenda | Adopted Resolution No. 2019-12 | Adopted Resolution No. 2019-13 | Continued first reading of Ordinance No. 2019-27 and referred it to the Design Review Board to review the concems/issues that Councilmembers raised related to: the lack of details in the Pattern Book; landscaping buffer (berm) details on the north side of the property; additional detail on landscaping along Corkscrew Road and Three Oaks Parkway; the failing condition of the roadway in front of the property; utilities shielding; information related to the opening date of the business and how it coincides with the interchange improvements; reduction of parking spaces and possibility of increasing the number of handicap spaces; vehicle stacking; improvement to the building architecture, specifically the flat surfaces; minimal amount of outdoor...",,,,,,,,Broadway Avenue East UEP,Broadway Avenue East UEP,26.442000,-81.805400,1.0,DA/MI,2019-09-04 Council Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/2019-09-04%20Council%20Meeting%20Approved%20Minutes.pdf,MeetingLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2022-02-16,2022-02-16,2022,Accepted,,,,Village Council Meeting Minutes — 2022-02-16,"Approved to permit Village Attorney Burt Saunders to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-02 | Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a co...","Approved to permit Village Attorney Burt Saunders to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-02 | Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, Inc. to provide professional consulting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project | Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked...","Approved to permit Village Attorney Burt Saunders to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-02 | Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, Inc. to provide professional consulting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project | Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked...",,,,,,,,Broadway Avenue East UEP,Broadway Avenue East UEP,26.442000,-81.805400,1.0,DA/MI,02022022 minutes.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/02022022%20minutes.pdf,MeetingLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2025-10-15,2025-10-15,2025,Accepted,,,,Village Council Meeting Minutes — 2025-10-15,"Approved agenda | Approved consent agenda | Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and to authorize the Village Manager or designee to execute all related documents | Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents | Approved Third Amendment to...","Approved agenda | Approved consent agenda | Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and to authorize the Village Manager or designee to execute all related documents | Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents | Approved Third Amendment to the Public Improvement Agreement between the Village and High 5 Up Top, LLC | Adopted Ordinance No. 2025-11 on first reading and schedule 2nd reading on October 15, 2025 | Adopted Ordinance No. 2025-12 on first reading and schedule 2nd reading on October 15, 2025 | Approved Ordinance No. 2025-10","Approved agenda | Approved consent agenda | Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and to authorize the Village Manager or designee to execute all related documents | Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents | Approved Third Amendment to the Public Improvement Agreement between the Village and High 5 Up Top, LLC | Adopted Ordinance No. 2025-11 on first reading and schedule 2nd reading on October 15, 2025 | Adopted Ordinance No. 2025-12 on first reading and schedule 2nd reading on October 15, 2025 | Approved Ordinance No. 2025-10",,,,,,,,Broadway Avenue East UEP,Broadway Avenue East UEP,26.442000,-81.805400,1.0,DA/MI,10012025.pdf,https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/10012025.pdf,MeetingLocation
