candidate_id,item_id,meeting_id,location_id,candidate_name,candidate_address,candidate_source,arcgis_query,evidence,review_status
1,4,1,36,8800 Corkscrew Road,"8800 Corkscrew Road, Estero, FL",address_regex,"8800 Corkscrew Road, Estero, FL","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",Needs Geocode
2,5,1,27,Bella Terra,"Bella Terra, Estero, FL",known_location_missing_coordinates,"Bella Terra, Estero, FL","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council",Needs Geocode
3,19,3,22,Estero River,"Estero River, Estero, FL",known_location_missing_coordinates,"Estero River, Estero, FL","Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River",Needs Geocode
4,24,4,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services Estero Parkway Landscaping as provided in the contract for a one-year period, at a rate of $358,276.00 per year. Authorized the Village Manager to renegotiate and execute the renewal of this contract for three additional one-year terms under the same terms and conditions",Needs Geocode
5,33,5,3,Estero Fire Rescue,"21500 Three Oaks Parkway, Estero, FL 33928",known_location_missing_coordinates,"21500 Three Oaks Parkway, Estero, FL 33928","No action required. 8. PUBLIC INPUT ON NON-AGENDA ITEMS: None. 9. COUNCIL COMMUNICATIONS I FUTURE AGENDA ITEMS Councilmember Ribble expressed appreciation regarding today's workshop being scheduled. Councilmember Brown expressed appreciation regarding the zip code issue being resolved. Councilmember Wilson requested that a ""Council Compensation"" workshop item be added to the February 24, 2016 workshop agenda, or as soon as possible thereafter. 10. VILLAGE ATTORNEY COMMENTS None. 11. VILLAGE MANA",Needs Geocode
6,33,5,16,Three Oaks Parkway,"Three Oaks Parkway, Estero, FL",known_location_missing_coordinates,"Three Oaks Parkway, Estero, FL","No action required. 8. PUBLIC INPUT ON NON-AGENDA ITEMS: None. 9. COUNCIL COMMUNICATIONS I FUTURE AGENDA ITEMS Councilmember Ribble expressed appreciation regarding today's workshop being scheduled. Councilmember Brown expressed appreciation regarding the zip code issue being resolved. Councilmember Wilson requested that a ""Council Compensation"" workshop item be added to the February 24, 2016 workshop agenda, or as soon as possible thereafter. 10. VILLAGE ATTORNEY COMMENTS None. 11. VILLAGE MANA",Needs Geocode
7,33,5,37,21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",address_regex,"21500 Three Oaks Parkway, Estero, FL","No action required. 8. PUBLIC INPUT ON NON-AGENDA ITEMS: None. 9. COUNCIL COMMUNICATIONS I FUTURE AGENDA ITEMS Councilmember Ribble expressed appreciation regarding today's workshop being scheduled. Councilmember Brown expressed appreciation regarding the zip code issue being resolved. Councilmember Wilson requested that a ""Council Compensation"" workshop item be added to the February 24, 2016 workshop agenda, or as soon as possible thereafter. 10. VILLAGE ATTORNEY COMMENTS None. 11. VILLAGE MANA",Needs Geocode
8,53,10,12,Sandy Lane,"Sandy Lane, Estero, FL",known_location_missing_coordinates,"Sandy Lane, Estero, FL","Approved award of Request for Bid No. RFB 2021-04, Sandy Lane and Via Coconut Point Bridge Rehabilitation to Thomas Marine Construction, Inc. to perform the rehabilitation work at a cost of $349,851, approve a contingency fund amount of $35,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
9,53,10,23,Coconut Point,"Coconut Point, Estero, FL",known_location_missing_coordinates,"Coconut Point, Estero, FL","Approved award of Request for Bid No. RFB 2021-04, Sandy Lane and Via Coconut Point Bridge Rehabilitation to Thomas Marine Construction, Inc. to perform the rehabilitation work at a cost of $349,851, approve a contingency fund amount of $35,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
10,66,12,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved Motion to approve award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services as provided in the contract for a one-year period, at a rate of $127,075.00 per year, authorize the Village Manager to renegotiate and execute the renewal of this contract for three additional one year terms under the same terms and conditions, which wo",Needs Geocode
