location_id,item_id,address_raw,address_normalized,latitude,longitude,parcel_id,geocode_confidence,created_at
1,4,"Corkscrew Road, Estero, FL","Corkscrew Road, Estero, FL",26.4363,-81.7701,,0.9,
2,4,8800 Corkscrew Road,"8800 Corkscrew Road, Estero, FL",26.4314144,-81.8086842,,0.7,
3,5,"Bella Terra, Estero, FL","Bella Terra, Estero, FL",26.4346867,-81.7289876,,0.7,
4,7,"Estero Bay Village, Estero, FL","Estero Bay Village, Estero, FL",26.4408,-81.8225,,0.75,
5,7,"Sunny Grove, Estero, FL","Sunny Grove, Estero, FL",26.4376,-81.8128,,0.9,
6,7,"Cypress Bend, Estero, FL","Cypress Bend, Estero, FL",26.4469,-81.8116,,0.9,
7,19,"Estero River, Estero, FL","Estero River, Estero, FL",26.4360313,-81.8217353,,0.7,
8,24,"Estero Parkway, Estero, FL","Estero Parkway, Estero, FL",26.4491802,-81.7986456,,0.7,
9,33,"21500 Three Oaks Parkway, Estero, FL 33928","21500 Three Oaks Parkway, Estero, FL 33928",26.4271230,-81.7885540,,0.7,
10,33,"Three Oaks Parkway, Estero, FL","Three Oaks Parkway, Estero, FL",26.4472506,-81.7886807,,0.7,
11,33,21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,,0.7,
12,53,"Sandy Lane, Estero, FL","Sandy Lane, Estero, FL",26.4384205,-81.8049874,,0.7,
13,53,"Coconut Point, Estero, FL","Coconut Point, Estero, FL",26.4038818,-81.8077365,,0.7,
14,66,"Estero Parkway, Estero, FL","Estero Parkway, Estero, FL",26.4491802,-81.7986456,,0.7,
15,66,"US 41, Estero, FL","US 41, Estero, FL",26.4400826,-81.8108702,,0.7,
16,68,"Corkscrew Road, Estero, FL","Corkscrew Road, Estero, FL",26.4363,-81.7701,,0.9,
17,68,"Corkscrew Road at Puente Lane, Estero, FL","Corkscrew Road at Puente Lane, Estero, FL",26.4312,-81.7847,,0.9,
18,78,"Sandy Lane, Estero, FL","Sandy Lane, Estero, FL",26.4384205,-81.8049874,,0.7,
