item_id,meeting_id,action_type,vote_detected,project_matches,review_reason,item_text
1,1,Administrative,True,,No location name/address matched,Approved agenda
2,1,Consent Agenda,True,,No location name/address matched,Approved consent agenda
3,1,Vote,True,,No location name/address matched,Adopted the Village of Estero Information Security Policy
6,1,Contract Approval,True,,No location name/address matched,Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council
8,2,Consent Agenda,True,,No location name/address matched,"Approved the agenda as revised: pulled agenda item 3 (b) from the Consent Agenda and rescheduled for the January 18, 2017 Council meeting; removed agenda item 10 (b) and delayed discussion until it is determined whether there will be a Village election in March"
9,2,Consent Agenda,True,,No location name/address matched,"Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting"
10,2,Resolution,True,,No location name/address matched,Adopted Resolution No. 2017-02
11,2,Resolution,True,,No location name/address matched,Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended
12,2,Contract Approval,True,Corkscrew Road,No location name/address matched,Approved the Traffic Signal Maintenance Agreement with Lee County
13,2,Ordinance,True,,No location name/address matched,"Passed first reading and set second reading and public hearing date for January 18, 2017"
14,2,Ordinance,True,,No location name/address matched,Passed second reading and adopted Ordinance No. 2016-15
15,2,Ordinance,True,,No location name/address matched,Passed second reading and adopted Ordinance No. 2016-16
16,3,Administrative,True,,No location name/address matched,"Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
17,3,Administrative,True,,No location name/address matched,Approved agenda
18,3,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
20,3,Unknown,False,,No location name/address matched,"Accepted the Village's portion of the Opiod Settlement in the amount of $14,400"
21,4,Administrative,True,,No location name/address matched,Approved agenda
22,4,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
23,4,Resolution,True,,No location name/address matched,Adopted Resolution No. 2022-01
25,4,Vote,True,,No location name/address matched,Authorized the Village Manager and Village Attorney to execute any documents necessary to maintain participation in the State of Florida settlement
