ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
"Approval of agreement with KTB Florida Sports Arena, LLC regarding its transfer of portion of stormwater retention lake serving the Hertz Arena property, and the sharing of related maintenance costs",Village Council,Special Meeting,Village Council,2023-07-26,2023-07-26,2023,Accepted,1007,3,Contract Approval,"Approval of agreement with KTB Florida Sports Arena, LLC regarding its transfer of portion of stormwater retention lake serving the Hertz Arena property, and the sharing of related maintenance costs","Approval of agreement with KTB Florida Sports Arena, LLC regarding its transfer of portion of stormwater retention lake serving the Hertz Arena property, and the sharing of related maintenance costs. Action: Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for De...","Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads","Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads","Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads",,,Detected,KTB Florida Sports Arena,,,"11000 Everblades Parkway, Estero, FL","11000 Everblades Parkway, Estero, FL",26.440541,-81.77872,1.0,TD/CS,07262023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07262023%20minutes.pdf,AgendaItemLocation
"Ordinance No. 2024-05 Bella Terra Cell Tower An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to Allow the use of Wireless Com...",Village Council,Regular Meeting,Village Council,2024-04-03,2024-04-03,2024,Accepted,1111,10,Ordinance,"Ordinance No. 2024-05 Bella Terra Cell Tower An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to Allow the use of Wireless Com...","Ordinance No. 2024-05 Bella Terra Cell Tower An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to Allow the use of Wireless Communicati. Action: Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 20","Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 20","Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 20","Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 20",,,Detected,,Ordinance No. 2024-05,,"19980 Bella Terra Boulevard, Estero, FL","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,1.0,TD/CS,04032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04032024%20minutes.pdf,AgendaItemLocation
"Ordinance No. 2024-05 Bella Terra Cell Tower Applicant has asked for a continuance to May 1, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bel...",Village Council,Regular Meeting,Village Council,2024-04-17,2024-04-17,2024,Accepted,1117,5,Vote,"Ordinance No. 2024-05 Bella Terra Cell Tower Applicant has asked for a continuance to May 1, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bel...","Ordinance No. 2024-05 Bella Terra Cell Tower Applicant has asked for a continuance to May 1, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra. Action: Approved continuance to May 1, 20","Approved continuance to May 1, 20","Approved continuance to May 1, 20","Approved continuance to May 1, 20",,,Detected,,Ordinance No. 2024-05,,"19980 Bella Terra Boulevard, Estero, FL","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,1.0,TD/CS,04172024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04172024%20minutes.pdf,AgendaItemLocation
"Ordinance No. 2024-05 Bella Terra Cell Tower This was deferred from April 17, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Develo...",Village Council,Regular Meeting,Village Council,2024-05-01,2024-05-01,2024,Accepted,1126,9,Ordinance,"Ordinance No. 2024-05 Bella Terra Cell Tower This was deferred from April 17, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Develo...","Ordinance No. 2024-05 Bella Terra Cell Tower This was deferred from April 17, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to. Action: Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be...","Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be taped consistent with Land Development Code.""","Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be taped consistent with Land Development Code.""","Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be taped consistent with Land Development Code.""",,,Detected,Land Development Code,Ordinance No. 2024-05,,"19980 Bella Terra Boulevard, Estero, FL","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,1.0,TD/CS,05012024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05012024%20minutes.pdf,AgendaItemLocation
"Consider a Lien Mitigation Request from Wayne and Maxine Schneider Relating to Their Property at 20031 Seagrove Street #1408, Located in the Sabal Palms III Community of Grandezza, Building 14, Unit 1408",Village Council,Regular Meeting,Village Council,2020-02-05,2020-02-05,2020,Accepted,589,2,Unknown,"Consider a Lien Mitigation Request from Wayne and Maxine Schneider Relating to Their Property at 20031 Seagrove Street #1408, Located in the Sabal Palms III Community of Grandezza, Building 14, Unit 1408","Consider a Lien Mitigation Request from Wayne and Maxine Schneider Relating to Their Property at 20031 Seagrove Street #1408, Located in the Sabal Palms III Community of Grandezza, Building 14, Unit 1408. Action: Reduced the fine to $0 and charged the administrative costs of $201",Reduced the fine to $0 and charged the administrative costs of $201,Reduced the fine to $0 and charged the administrative costs of $201,,,,,,,,20031 Seagrove Street,"20031 Seagrove Street, Estero, FL",26.448391935066,-81.765560108128,1.0,,2020-02-05 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-02-05%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive",Village Council,Regular Meeting,Village Council,2020-01-08,2020-01-08,2020,Accepted,580,5,Contract Approval,"Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive","Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive. Action: Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6",,,Detected,,,,20170 South Tamiami Trail,"20170 South Tamiami Trail, Estero, FL",26.446015833153,-81.815692187201,1.0,,2020-01-08 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consideration of a request for a code enforcement lien mitigation from Deborah Stapleton relating to the property at 20248 Luettich Lane, Estero, FL 33928 (in the Broadway Mobile Home Village)",Village Council,Regular Meeting,Village Council,2025-11-05,2025-11-05,2025,Accepted,1322,3,Vote,"Consideration of a request for a code enforcement lien mitigation from Deborah Stapleton relating to the property at 20248 Luettich Lane, Estero, FL 33928 (in the Broadway Mobile Home Village)","Consideration of a request for a code enforcement lien mitigation from Deborah Stapleton relating to the property at 20248 Luettich Lane, Estero, FL 33928 (in the Broadway Mobile Home Village). Action: Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property",Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property,Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property,Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property,,,Detected,Deborah Stapleton relating to the property at 20248 Luettich Lane,,,20248 Luettich Lane,"20248 Luettich Lane, Estero, FL",26.446807000994,-81.828129841866,1.0,TD/CS,11052025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/11052025.pdf,AgendaItemLocation
Lien Mitigation 20275 Sherrill Lane Case No. 18040009,Village Council,Regular Meeting,Village Council,2023-10-04,2023-10-04,2023,Accepted,1028,5,Vote,Lien Mitigation 20275 Sherrill Lane Case No. 18040009,"Lien Mitigation 20275 Sherrill Lane Case No. 18040009. Action: Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000",,,Detected,,,,20275 Sherrill Lane,"20275 Sherrill Lane, Estero, FL",26.446279192551,-81.82850870389,1.0,TD/CS,10042023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/10042023%20minutes.pdf,AgendaItemLocation
Lien Mitigation 20275 Sherrill Lane Case No. 18040009,Village Council,Regular Meeting,Village Council,2023-10-04,2023-10-04,2023,Accepted,1028,5,Vote,Lien Mitigation 20275 Sherrill Lane Case No. 18040009,"Lien Mitigation 20275 Sherrill Lane Case No. 18040009. Action: Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000",,,Detected,,,,20275 Sherrill Ln,"20275 Sherrill Ln, Estero, FL",26.446279192551,-81.82850870389,1.0,TD/CS,10042023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/10042023%20minutes.pdf,AgendaItemLocation
Code Enforcement Lien Mitigation - 20318 Sherrill Lane,Village Council,Regular Meeting,Village Council,2021-07-07,2021-07-07,2021,Accepted,710,7,Vote,Code Enforcement Lien Mitigation - 20318 Sherrill Lane,"Code Enforcement Lien Mitigation - 20318 Sherrill Lane. Action: Approved the lien mitigation request from Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost","Approved the lien mitigation request from Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost","Approved the lien mitigation request from Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost","Approved the lien mitigation request from Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost",,,Detected,Ms. Hernandez releasing any outstanding liens against the Property,,,20318 Sherrill Lane,"20318 Sherrill Lane, Estero, FL",26.445524150713,-81.829035422685,1.0,TD/CS,07072021 minute.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/07072021%20minute.pdf,AgendaItemLocation
