candidate_id,item_id,meeting_id,location_id,candidate_name,candidate_address,candidate_source,arcgis_query,evidence,review_status
1,29,35,39,9201 and 9301 Corkscrew Road,"9201 and 9301 Corkscrew Road, Estero, FL",address_regex,"9201 and 9301 Corkscrew Road, Estero, FL","passed the ordinance and the Bill passed as written, the ordinance would be preempted; however, if the wording in the Bill was rewritten, the portion that would preempt the Village from controlling the zoning would be reinstated. He continued that he was not in favor of fracking; however, he wanted to be practical and put in laws that meant something. He stated that his responsibility was to represent the people; although he did not believe that the ordinance would accomplish anything, he would ",Needs Geocode
2,44,39,39,9201 and 9301 Corkscrew Road,"9201 and 9301 Corkscrew Road, Estero, FL",address_regex,"9201 and 9301 Corkscrew Road, Estero, FL","Continued deliberations to 9:00 a.m. on January 20, 20",Needs Geocode
3,48,40,40,21700 S. Tamiami Trail,"21700 S. Tamiami Trail, Estero, FL",address_regex,"21700 S. Tamiami Trail, Estero, FL",Continued this item to a date when the staff report is available,Needs Geocode
4,64,42,40,21700 S. Tamiami Trail,"21700 S. Tamiami Trail, Estero, FL",address_regex,"21700 S. Tamiami Trail, Estero, FL",Approved first reading of Ordinance No. 2016,Needs Geocode
5,65,42,40,21700 S. Tamiami Trail,"21700 S. Tamiami Trail, Estero, FL",address_regex,"21700 S. Tamiami Trail, Estero, FL",Authorized the Mayor to sign the letter,Needs Geocode
6,68,44,40,21700 S. Tamiami Trail,"21700 S. Tamiami Trail, Estero, FL",address_regex,"21700 S. Tamiami Trail, Estero, FL","Approved continuing to a date certain, March 23, 20",Needs Geocode
7,149,59,44,9050 Corkscrew Road,"9050 Corkscrew Road, Estero, FL",address_regex,"9050 Corkscrew Road, Estero, FL",Adopted Resolution No. 2016-22 approving the vacation of an easement and right-of-way for the Genova project,Needs Geocode
8,186,65,45,22942 Lyden Lane,"22942 Lyden Lane, Estero, FL",address_regex,"22942 Lyden Lane, Estero, FL","Passed first reading of Ordinance No. 2016-13 and scheduled second reading and public hearing for December 7, 20",Needs Geocode
9,383,105,47,9870 Horne Lane,"9870 Horne Lane, Estero, FL",address_regex,"9870 Horne Lane, Estero, FL",Move to approve removal of lien,Needs Geocode
10,479,123,51,20511 Port Drive,"20511 Port Drive, Estero, FL",address_regex,"20511 Port Drive, Estero, FL",Motion failed,Needs Geocode
11,480,123,51,20511 Port Drive,"20511 Port Drive, Estero, FL",address_regex,"20511 Port Drive, Estero, FL","Approved the lien mitigation request from Mr. Brace releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000 and $90 for administrative cost",Needs Geocode
12,492,126,52,3548 Cherry Blossom Court,"3548 Cherry Blossom Court, Estero, FL",address_regex,"3548 Cherry Blossom Court, Estero, FL","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000.00 and $202.15 for administrative costs",Needs Geocode
13,493,126,53,8401 Mockingbird Lane,"8401 Mockingbird Lane, Estero, FL",address_regex,"8401 Mockingbird Lane, Estero, FL",Postponed the request until the property owner is available to provide information,Needs Geocode
14,494,126,53,8401 Mockingbird Lane,"8401 Mockingbird Lane, Estero, FL",address_regex,"8401 Mockingbird Lane, Estero, FL",1) Approved consultants ranking for Via Coconut Point Landscape Improvements as follows,Needs Geocode
15,497,126,55,4406 And 4410 Coconut Road,"4406 And 4410 Coconut Road, Estero, FL",address_regex,"4406 And 4410 Coconut Road, Estero, FL","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 20",Needs Geocode
16,578,141,53,8401 Mockingbird Lane,"8401 Mockingbird Lane, Estero, FL",address_regex,"8401 Mockingbird Lane, Estero, FL",Motion failed due to lack of a second,Needs Geocode
17,579,141,53,8401 Mockingbird Lane,"8401 Mockingbird Lane, Estero, FL",address_regex,"8401 Mockingbird Lane, Estero, FL","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000.00 and $307.50 for administrative costs as recommended by the Village Attorney",Needs Geocode
18,580,141,57,20170 South Tamiami Trail,"20170 South Tamiami Trail, Estero, FL",address_regex,"20170 South Tamiami Trail, Estero, FL","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6",Needs Geocode
19,586,142,58,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",address_regex,"4406 and 4410 Coconut Road, Estero, FL","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut",Needs Geocode
20,589,144,59,20031 Seagrove Street,"20031 Seagrove Street, Estero, FL",address_regex,"20031 Seagrove Street, Estero, FL",Reduced the fine to $0 and charged the administrative costs of $201,Needs Geocode
21,590,145,60,22350 S Tamiami Trail,"22350 S Tamiami Trail, Estero, FL",address_regex,"22350 S Tamiami Trail, Estero, FL",Postponed two weeks,Needs Geocode
22,597,146,60,22350 S Tamiami Trail,"22350 S Tamiami Trail, Estero, FL",address_regex,"22350 S Tamiami Trail, Estero, FL","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment ofa reduced fine of$15,000 and $331 .50 for administrative costs",Needs Geocode
23,640,153,63,4410 Coconut Road,"4410 Coconut Road, Estero, FL",address_regex,"4410 Coconut Road, Estero, FL",Adopted Ordinance 2020,Needs Geocode
24,710,166,67,20318 Sherrill Lane,"20318 Sherrill Lane, Estero, FL",address_regex,"20318 Sherrill Lane, Estero, FL","Approved the lien mitigation request from Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost",Needs Geocode
25,784,178,70,9170 Estero River Ct,"9170 Estero River Ct, Estero, FL",address_regex,"9170 Estero River Ct, Estero, FL","Adopted the lien mitigation request from DK Realty Group-Sub, LLC releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $49,000.00 and $296.85 for administrative costs",Needs Geocode
26,1028,215,87,20275 Sherrill Lane,"20275 Sherrill Lane, Estero, FL",address_regex,"20275 Sherrill Lane, Estero, FL","Approved staff recommendation accepting the request of Troy Blasko, the new owner to release the Village's code enforcement lien against 20275 Sherrill Ln, Estero in exchange for the payment of $5000",Needs Geocode
