location_id,item_id,address_raw,address_normalized,latitude,longitude,parcel_id,geocode_confidence,created_at
1,2,"21500 Three Oaks Parkway, Estero, FL","21500 Three Oaks Parkway, Estero, FL",26.426449705114,-81.788771609677,,1.0,
2,7,"Williams Road from US 41 to Three Oaks Parkway, Estero, FL","Williams Road from US 41 to Three Oaks Parkway, Estero, FL",26.420352499197,-81.799938484002,,0.9,
3,7,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL","Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL",26.448792003304,-81.803409304378,,0.9,
4,15,"Koreshan State Park, Estero, FL","Koreshan State Park, Estero, FL",26.4368409,-81.8180833,,1.0,
5,16,"The Brooks Town Center, Estero, FL","The Brooks Town Center, Estero, FL",26.396617,-81.786171,,1.0,
6,20,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL","Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL",26.448792003304,-81.803409304378,,0.9,
7,23,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL","Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,,0.9,
8,23,"US 41 from Williams Road to Estero Parkway, Estero, FL","US 41 from Williams Road to Estero Parkway, Estero, FL",26.434255,-81.814695788461,,0.9,
9,23,"Estero River near Old Estero and Koreshan State Park, Estero, FL","Estero River near Old Estero and Koreshan State Park, Estero, FL",26.4360313,-81.8217353,,0.9,
10,23,"Koreshan State Park, Estero, FL","Koreshan State Park, Estero, FL",26.4368409,-81.8180833,,1.0,
11,23,"The Brooks, Estero, FL","The Brooks, Estero, FL",26.3926426,-81.7753764,,0.9,
12,25,"21500 Three Oaks Parkway, Estero, FL","21500 Three Oaks Parkway, Estero, FL",26.426449705114,-81.788771609677,,1.0,
13,27,"21500 Three Oaks Parkway, Estero, FL","21500 Three Oaks Parkway, Estero, FL",26.426449705114,-81.788771609677,,1.0,
14,28,"Shadow Wood, Estero, FL","Shadow Wood, Estero, FL",26.4099337,-81.7949565,,0.9,
