item_id,meeting_id,action_type,vote_detected,project_matches,review_reason,item_text
1,1,Consent Agenda,True,,No location name/address matched,"APPROVED MINUTES FOR VILLAGE OF ES TERO 3/17/2015 MEETING---------- College of Life Foundation Chairman Charles Daurey presented a brief summary of the history of the Estero area, beginning with the arrival of Ponce de Leon at Mound Key over 500 years ago. He read selections from a collection of the Ordinance and Rules of the Town ofEstero founded 110 years ago; and presented to the Council the only remaining copy of the Rules of the Town Council and Ordinances of the Town ofEstero, dated September 1905. Mayor Batas thanked Mr. Daurey and all who have helped to build the community. SWEARING IN CEREMONY Honorable Elisabeth Adams, Twentieth Circuit Judge, conducted the swearing in of the new Council members. ROLL CALL Attorney Saunders called the roll of the first Village Council and confirmed that a quorum was present to conduct the evening's business. CITY COUNCIL COMMUNICATION AND DISCUSSION (A) Selection of Mayor Mr. Ribble nominated Mr. Batas to serve as Mayor, seconded by Mr. Brown, called and carried unanimously by a roll call vote. Mayor Batas thanked the Council members for their support, and commented that all the work that had already been done was just the beginning. (B) Selection of Vice-Mayor. Mr. Brown nominated Mr. Levitan to serve as Vice-Mayor, seconded by Mr. Ribble, called and carried unanimously by a roll call vote. Vice-Mayor Levitan thanked the Council members and stated that he would work as hard as possible. AT THIS TIME, MR. CHARLES DAUREY MADE A PRESENTATION TO THE COUNCIL. SEE THAT PORTION OF THE MINUTES. FOLLOWING A BRIEF RECESS, THE MAYOR RE-CONVENED THE MEETING AT 7:22 PM WITH ALL COUNCIL MEMBERS PRESENT. APPROVAL OF AGENDA Mr. Wilson moved approval of the agenda as stated, seconded by Mr. Brown, called and carried unanimously. CONSENT AGENDA NO CONSENT AGENDA ITEMS WERE PULLED FOR DISCUSSION BY THE COUNCIL MEMBERS. 8(A) Approve Resolution Regarding the Purchase of Liability, Errors and Omissions Insurance from the Florida League of Cities/Florida Municipal Insurance Trust. Mr. Ribble moved approval of Consent Agenda Items 8(A), 8(B), and 8(C), seconded by Mr. Levitan, called and carried unanimously. RESOLUTION NO. 2015-01 ----------APPROVED MINUTES FOR VILLAGE OF ES TERO 3/17/2015 MEETING---------- 2 8(B) Approve Resolution to Begin Operation of Website. Mr. Ribble moved approval of Consent Agenda Items 8(A), 8(B), and 8(C), seconded by Mr. Levitan, called and carried unanimously. RESOLUTION NO. 2015-02 8(C) Approve Resolution Requesting that the Governor Create a Seat on the Lee County Metropolitan Planning Organization. Mr. Ribble moved approval of Consent Agenda Items 8(A), 8(B), and 8(C), seconded by Mr. Levitan, called and carried unanimously. RESOLUTION NO. 2015-03 COUNCIL BUSINESS Mayor Batos explained that, because Council had no staff at this point, members of the ECCL Transition Team and others had been asked to act as staff to research the Council Business items. 9(A) DISCUSSION/RESOLUTION -A discussion and proposed resolution regarding the appointment of an Interim Village Manager and Interim Custodian of Public Records Transition Team member Phil Douglas reviewed the information provided in the agenda attachments, described the qualifications of the recommended candidate Peter Lombardi, and requested that the Council employ Mr. Lombardi as Interim Village Manager. Following brief Council discussion, the Mayor called for public input; however, no one came forward. Mayor Batos requested a motion to approve a resolution confirming Peter Lombardi as Interim Village Manager and Custodian of Public Records. Mr. Brown so moved, seconded by Mr. Ribble, called and carried unanimously by a roll call vote. Mr. Lombardi thanked the Council, and remarked that the next twelve months would be a very exciting time. RESOLUTION NO. 2015-04 9(B) DISCUSSION/RESOLUTION -A discussion and proposed resolution confirming the appointment of an Interim Village Attorney. On behalf of the ECCL, Transition Team member Roger Strelow recommended the selection of Burt Saunders and the GrayRobinson Law Firm as Interim Village Attorney; described qualifications of Mr. Saunders and the firm; and reviewed the information provided in the agenda attachments. Mr. Wilson moved approval, seconded by Mr. Boesch, called and carried unanimously by a roll call vote. After Mr. Saunders remarked that he was looking forward to an exciting year, Mayor Batos requested that he serve as parliamentarian for the meeting. RESOLUTION NO. 2015-05 9(C) DISCUSSION/RESOLUTION - A discussion and proposed resolution regarding the appointment of an Interim Village Finance Director. Transition Team member Robert Lienesch reviewed the information provided in the agenda attachments, and described the qualifications of candidate Lisa Pace and the firm of Adgate, Pace and Associates (APA). Mayor Batos requested a motion to approve a resolution confirming the appointment of Lisa Pace as Interim Village Finance Director. Mr. Boesch moved approval, seconded by Ms. Errington. The Mayor called for public input; and former Bonita Springs City Council member Martha Simons came forward to endorse Ms. Pace. The motion was called and carried unanimously. RESOLUTION NO. 2015-06 ----------APPROVED MINUTES FOR VILLAGE OF ES TERO 3/17/2015 MEETING---------- 3 9(D) DISCUSSION/RESOLUTION -A discussion and proposed resolution regarding accounting and bookkeeping services. Transition Team member Robert Lienesch reviewed the information provided in the agenda attachments, and described the benefits of using the same firm as both the Finance Director and the accounting/bookkeeping service. He recommended that the Council appoint Lisa Pace and AP A. Mayor Batos called for public input; however, no one came forward. He then requested a motion to approve a resolution confirming the appointment of AP A to perform accounting and bookkeeping services. Mr. Brown so moved, seconded by Mr. Ribble, called and carried unanimously. RESOLUTION NO. 2015-07 9(E) DISCUSSION/RESOLUTION - A discussion and proposed resolution regarding banking services. Mayor Batos stated that Items 9(E) and 9(F) would be discussed simultaneously but voted on separately. Transition Team member Robert Lienesch reviewed the information provided in the agenda attachments; and described the differences between the terms proposed by Fifth Third Bank and Sun Trust Bank as outlined on a document entitled ""Term Sheet Comparison - Revolving Credit Agreement"" ( copy on file) which was distributed to Council members. He recommended that the Council select Sun Trust Bank; and authorize Village representatives to (1) immediately open banking accounts with Sun Trust, and (2) proceed with negotiation of terms for a line of credit of up to $1.5 million. He mentioned that Sun Trust Bank Vice-President Joshua McCoy and Fifth Third Bank Vice-President Jim Mitchell were present to answer any questions. In response to a question from Mr. Boesch, Mr. McCoy stated that approved line of credit funds would be available for capital needs as determined by the Council. Discussion ensued, during which Mr. McCoy clarified that his reference was not to additional funds. Attorney Saunders explained that a personal banking relationship with one of the banks would not prevent a Council member from voting on the issue; and that repayment of the entire amount must occur within 12 months. Mayor Batos called for"
3,1,Ordinance,True,,No location name/address matched,"adopted the Lee County Ordinances as part of the Charter, subject to modification by the Council. He pointed out violations and penalties outlined in Section 2-191 of the County Ordinances, dealing with unauthorized communications; and noted that this section would prevent the Council from discussing important issues with citizens and developers. Mayor Batos called for public input; ECCL Vice-Chair John Goodrich asked whether Council members would be allowed to have individual conversations outside of a hearing. Attorney Saunders confirmed that Council members could communicate individually on matters to be considered by the Council. Mr. Levitan provided details of the enabling statute, including the requirement for disclosure of communications prior to the applicable hearing; and noted that other municipalities in Lee County had adopted similar Ordinances. Mayor Batos requested a motion to direct the Interim Village Manager to advertise an Ordinance regarding Section 286.0115 of the Florida Statutes to remove the presumption of prejudice from ex-parte communication with local public officials by establishing a process to disclose such communications. Mr. Levitan so moved, seconded by Mr. Ribble, called and carried unanimously. 9(M) DISCUSSION - Direct Interim Village Manager to advertise an Ordinance amending Lee County Ordinance 03-14, Relating to Lobbying Activities and Lobbyist Reporting in Lee County. Attorney Saunders explained that the request was for an amendment to a portion of the Lee County Ordinance, dealing with the recordkeeping requirements for public officials which would be burdensome for Council members; and noted that the penalties for intentional violations were severe. Mayor Batos called for public input; however, no one came forward. He then requested a motion to direct the Interim Village Manager to advertise an Ordinance repealing Lee County Ordinance 03-14, Section 3, relating to lobbying activities and lobbyist reports. Ms. Errington so moved, seconded by Mr. Brown, called and carried unanimously. PUBLIC INPUT ON NON-AGENDA ITEMS Mayor Batos called the names of the three persons who had submitted speaker cards: Island Club resident William Savage expressed the concerns of local residents about a project proposed by Stock Development, and submitted a petition with 800 residents' signatures (copy on file). ----------APPROVED MINUTES FOR VILLAGE OF ES TERO 3/17/2015 MEETING---------- 6 Island Club resident Nancy Buchhop urged the Council to maintain the high standards set by the ECCL. Marsh Landing resident Steve Ferruggia asked how the Council would appoint members to committees. Mayor Batos indicated that the Council would determine at future meetings which committees to create and how appointments will be made. Mayor Batos called for any additional"
4,3,Discussion,True,,No location name/address matched,"adopted as part of the package developed with the Village Charter. Council discussion followed. After Mr. Saunders responded to questions from Council members, there was consensus to move forward to public hearings. 5. PUBLIC INPUT ON NON-AGENDA ITEM Island Club resident, Donna Pogliano, inquired about an email she had sent. 6. COUNCIL COMMUNICATIONS No items were presented by the individual Council members nor by Interim Village Attorney Burt Saunders or Interim Village Manager Peter Lombardi. 7. ADJOURN The Mayor"
5,4,Ordinance,True,,No location name/address matched,"approved loan documents as requested by the GrayRobinson Law Firm. Mr. Boesch moved approval, seconded by Mr. Brown. The Mayor called for public input; however, no one came forward. The motion was called and carried unanimously. RESOLUTION NO. 2015-17 2. Review of list of clergy people for invocations Mr. Boesch presented a list of local clergy people who would be available to provide the invocations, and noted the diversity of backgrounds. It was agreed that suggestions for additional names should be sent to Interim Village Manager Peter Lombardi, who will check on availability and set up a rotation. 3. Resolution - Support of State Purchase of Sugar Land After Ms. Errington presented information (copy on file) on the importance of the planned state purchase of sugar land, Mayor Batos noted that, due to time constraints, this item had been moved from tomorrow's agenda to be considered at this time. Interim Village Attorney Burt Saunders explained that he would prepare the resolution for signatures and hand-deliver it on Wednesday to the Senate President, Speaker of the House, and Governor's Office. The Mayor called for public input; however, no one came forward. Mr. Ribble moved approval, seconded by Ms. Errington. Following Council discussion, the motion was called and carried unanimously. RESOLUTION NO. 2015-18 4(A) Approval of Regular Council Meeting and Workshop Minutes of March 27, 2015 Interim Village Manager Peter Lombardi requested that this item be deferred to the meeting of April 17, 2015. There were no objections from the Council members. 4(B) FIRST READING - ORDINANCE 2015-01 An Ordinance of the Village Council of the Village of Estero, Florida, establishing Land Use Advisory Boards to the Village Council to include the Planning and Zoning Board and the Design Review Board; providing a severability clause; repealing and rescinding all ordinances in conflict; and providing an effective date. Interim Village Attorney Burt Saunders confirmed that proper notice had been provided for this hearing and the second hearing. Following brief discussion, members agreed to move to the next items while copies of the amended draft were made for members who had not received the most recent draft. FOLLOWING CONSIDERATION OF ITEM 4(D): Mr. Levitan reviewed and explained the revisions page by page. Extensive discussion ensued, during which Mr. Levitan, Attorney Saunders, Interim Village Manager Peter Lombardi, and Special Zoning Counsel Nancy Stroud answered questions from the Council. Mayor Batos called for public input; however no one came forward. Mr. Levitan moved approval, seconded by Mr. Ribble, called and carried unanimously via roll-call vote. 4(C) FIRST READING - ORDINANCE 2015-02 An Ordinance of the Village Council of the Village of Estero, Florida establishing procedures for ex parte communications related to quasi-judicial proceedings; providing a severability clause; repealing and rescinding all ordinances in conflict; and providing an effective date. Interim Village Attorney Burt Saunders confirmed that proper notice had been provided for both this hearing and the second hearing. Following brief comments from Mr. Boesch, the Mayor called for public input; however no one came forward. Mr. Brown moved approval, seconded by Mr. Wilson, called and carried unanimously via roll-call vote. 4(D) FIRST READING - ORDINANCE 2015-03 An Ordinance of the Village Council of the Village of Estero, Florida, amending Chapter 22, Licenses and Business regulations, of the Code of Laws and Ordinances of the Village of Estero, Florida; removing certain record keeping requirements; providing for conflict with other ordinances; providing for severability; and providing for an effective date. Mayor Batos explained the purpose of the ordinance, and Mr. Wilson offered additional clarification. The Mayor called for public input; and the following individuals came forward to comment: Fountain Lake resident, Larry Newell Old Estero resident, Patty Whitehead After Mr. Levitan and Mayor Batos responded to Ms. Whitehead's concerns, Mr. Ribble moved approval, seconded by Mr. Brown. The motion was called and carried unanimously via roll-call vote. AT THIS TIME, THE COUNCIL RESUMED CONSIDERATION OF ITEM 4(B). PUBLIC INPUT ON NON-AGENDA ITEMS Fountain Lake resident, Larry Newell - Hospital situation and the Agency for Health Care Administration Marsh Landing resident, Beverly MacNellis - Hospital Planning Board as a resource Villages at Country Creek resident, George Molnar - Village website; legal and financial information Broadway Mobile Home Village resident, Pat Holcomb - Possible eminent domain actions on vacant land COUNCIL / MANAGER/ATTORNEY COMMUNICATIONS AND FUTURE AGENDA ITEMS Council Members' Comments: Mr. Ribble commended Mr. Levitan for writing an article about transparency for Spotlight Magazine. Mr. Levitan asked about the starting time for tomorrow's Workshop Meeting. After discussion, it was agreed that the meeting would begin at 10:00 am, and then be continued to 1:30 pm. Mr. Boesch requested that Interim Village Manager Peter Lombardi provide Council members with copies of the Consultants Competitive Negotiations Act and the Public Business 287 Statute. Mayor Batos: Reported that he had requested an updated population count for Estero to be considered by the Metropolitan Planning Organization (MPO). Noted that a proposed schedule of meetings and workshops from now through year-end would be brought up at the April 17, 2015 meeting Requested approval of a proclamation acknowledging the Estero Council of Community Leaders (ECCL) for all their work done, including the work on incorporation; and wishing them success in their future operations. Mr. Wilson moved approval, seconded by Mr. Boesch. The Mayor called for"
6,4,Contract Approval,True,,No location name/address matched,"approved retaining the firm of Nabors, Giblin & Nickerson as Special Tax Counsel, and asked for Council consensus to authorize signature of an agreement with them. Following discussion, there was consensus to approve the request. Reported on pending legislation that would require cities to pay for re-location of utilities, if the city's project makes the re-location necessary, even if the utilities are located on the city right-of-way. Commented that the ""glitch"" bill had been approved by 2 of 3 committees and should have no problem/ ADJOURN The Mayor requested a motion to adjourn. Mr. Ribble so moved, seconded by Ms. Errington, called and carried unanimously. The meeting was"
8,7,Presentation,True,,No location name/address matched,"approved more than five years ago. Ms. Errington inquired about land clearing at Corkscrew Commons for an apartment project. Mr. Brown requested, and Mr. Lombardi agreed to provide, a list of developable lands and proposed development uses within Estero. He stated that the Vines-Estero Country Club requested the re-location of road signs, and Mr. Bausch reported that the work was requested at the Transportation meeting. Mayor Batos mentioned a workshop to assign liaisons with various organizations, and asked Mr. Brown to serve as liaison to Lee Memorial Hospital in the interim to provide Village representation at an upcoming meeting. Interim Village Attorney's Comments: Interim Village Attorney, Burt Saunders had no comments to offer. Interim Village Manager's Comments: Interim Village Manager, Peter Lombardi, stated that he had sent an email to Mr. Levitan with an opinion from the Lee County Attorney that the County Code Enforcement Hearing Officer could not also serve the Village of Estero. He mentioned that the consideration of alternatives would be brought up as a workshop topic. Mayor Batos reminded the members to add to the list of possible workshop topics that would be distributed. Ms. Errington suggested that development of a hurricane season emergency plan should be added as a workshop item. ADJOURN The Mayor"
9,8,Administrative,True,,No location name/address matched,"APPROVED MINUTES FOR VILLAGE OF ES TERO 4/24/2015 REGULAR MEETING---------- 5(B) RESOLUTION - A Resolution Appointing Members to the Village of Estero Design Review Board and Determining Board Member Terms. Vice-Mayor Levitan noted that, due to some issues regarding the ordinance requirement for local licensed architects, only six of the eight members would be elected at this meeting; and that an ordinance revision might be needed. Following Council discussion, there was consensus to direct staff to advertise for the possible change while the search continues for qualified candidates. After the members completed the ballots, Interim Village Attorney Burt Saunders and Interim Village Manager Mr. Lombardi tallied the votes; and announced the names of those who had received at least four votes. The drawing was then held to assign the respective terms as indicated: Joe McHarris - 7 votes - I-year term Albert O'Donnell- 7 votes - I-year term William Prysi - 7 votes - 2-year term Patti Whitehead - 6 votes - 2-year term Gerald Simons - 6 votes - 2-year term Barry Jones - 5 votes - I-year term Ms. Errington moved to adopt the resolution with those six names and specified terms, seconded by Mr. Brown, called and carried unanimously. Vice-Mayor Levitan nominated Albert O'Donnell as the Board Chairperson, seconded by Mr. Wilson. Mr. Boesch nominated William Prysi, seconded by Mayor Batos. Following brief discussion, Mr. O'Donnell was selected via roll-call vote, with Mayor Batos and Mr. Boesch voting for Mr. Prysi; and Mr. Ribble, Vice-Mayor Levitan, Mr. Brown, Ms. Errington, and Mr. Wilson voting for Mr. O'Donnell. Brief discussion followed regarding dates and times for the first meetings of the two Boards. There was consensus that Vice-Mayor Levitan would work with the two Chairpersons, Attorney Saunders, and Special Counsel Nancy Stroud to coordinate meeting schedules. RESOLUTION NO. 2015-24 5(C) RESOLUTION -A Resolution Approving Reimbursement to the Estero Council of Community Leaders (ECCL) of Funds Expended for the Village ofEstero. Mayor Batos described the items that were included in the total invoice of $7,600.26. He then called for public input; however, no one came forward to speak. Attorney Saunders clarified that the Council is given great latitude in spending money, and that the resolution had been drafted to indicate that these expenses were in the public interest. Mr. Ribble moved approval in the amount of $7,600.26, seconded by Mr. Brown. Following confirmation that this would be the final bill, the motion was called and carried, with Vice-Mayor Levitan dissenting. RESOLUTION NO. 2015-25 5(D) RESOLUTION -A Resolution Amending the Zoning in Progress Resolution Vice-Mayor Levitan briefly explained the reasons for the requested amendment. He added that he had spoken to some affected property owners who had no objections to the amendment. Following discussion regarding the objections of some developers, Laura DeJohn of Johnson Engineering, representing Lee Memorial Health System, confirmed the Vice-Mayor's report of his meeting with hospital representatives The Mayor called for public input; and the following individuals came forward to speak: South Lee County Hospital Co-Chair, Don Eslick Estero Chamber of Commerce President, Jeff Maas Rapallo resident and local developer, Jim Wallace Mr. Brown moved approval, seconded by Vice-Mayor Levitan, called and carried 5-2 via roll call vote with Mr. Boesch and Ms. Errington dissenting. RESOLUTION NO. 2015-26 PUBLIC INPUT ON NON-AGENDA ITEMS The Mayor called for public input; however, no one came forward. ----------MINUTES FOR VILLAGE OF ESTERO 4/24/2015 REGULAR MEETING---------- 2 COUNCIL I MANAGER/ATTORNEY COMMUNICATIONS AND FUTURE AGENDA ITEMS Council Members' Comments: Vice-Mayor Levitan thanked the Council for working to pass land use ordinances and resolutions to prevent delays in development; and stated that he looked forward to having the appointed Boards up and running to deal with the growing list of land use cases. Mr. Boesch reported that he had given a list to the Village Manager of those who would provide the invocations in May. Mr. Wilson noted that he had requested excused absences from the meetings of June 3 and June 12, 2015; and brief discussion of the Village Charter requirements followed. There were no objections to the request. Interim Village Manager's Comments: Interim Village Manager Peter Lombardi commended the Council for the successful brief voting process. Interim Village Attorney's Comments: Interim Village Attorney Burt Saunders reported that the House was considering both local bills today, and that there was nothing that-should interfere with passage. He pointed out that, although the ex-pmte communication ordinance had been changed to allow Council members to meet with developers, whether to do so remained the personal choice of each member; and briefly reviewed the legal requirements. ADJOURN The Mayor"
10,10,Discussion,True,,No location name/address matched,"adopted and rates set before the revenue could be received from the state, and suggested that the rate be set at the current County rate of 3.61%, less than the allowable maximum of 5.22%. Discussion followed regarding the effective date of January 1, 2016; the receipt of some funds retroactive to incorporation; the estimated annual amount of $518,000; and methods for dealing with possible state tax reductions. The Mayor called for"
11,10,Ordinance,True,BERT Rail Trail,No location name/address matched,"adopted Lee County Ordinances at incorporation; and that the cost of updated flood maps was included in the proposed interlocal agreement. Discussion followed regarding possible Bert Harris lawsuits, pending legislation that precludes such lawsuits, time required to review the application, rate policies of insurance companies, and unrelated insurance surcharges. After Mr. Overmyer reviewed specific activities that could help achieve a higher rating, further discussion occurred regarding the role of a ""coordinator"" and the ordinance requirement. The Mayor called for"
12,12,Ordinance,True,,No location name/address matched,"adopted via roll-call vote with Mr. Wilson absent. ORDINANCE 15-05 8(C) SECOND READING AND PUBLIC HEARING - ORDINANCE 15-06 An Ordinance of the Village Council of the Village of Estero, Florida, Establishing Purchasing Procedures; Designating a Purchasing Agent; Providing for Limitations on Purchases; Providing for Competitive Bidding; Establishing Competitive Bidding and Bid Opening Procedures; Providing for Awarding of Bids; Providing for Waiver of Competitive Bidding; Providing for Exemptions from Competitive Bidding; Providing for Repeal of Conflicting Provisions; Providing for Severability, Inclusion on the Code and in an Effective Date. The Mayor called for"
