item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at
1,1,1,Ordinance,Ordinance 2022-01,,Capital Improvement Schedule Update Ordinance Review - Ordinance 2022-01 updating the Village Capital Improvement Schedule for fiscal year 2021-2022 and adopting the most recent School District Capital Improvement Plan,,,Capital Improvement Schedule Update Ordinance Review - Ordinance 2022-01 updating the Village Capital Improvement Schedule for fiscal year 2021-2022 and adopting the most recent School District Capital Improvement Plan. Action: Recommended adoption of Ordinance 2022-01 to the Village Council,Recommended adoption of Ordinance 2022-01 to the Village Council,,See minutes,
2,2,1,Vote,DOS2018-E005,,"The Colonnade, Continuing Care Retirement Community (CCRC) aka Volunteers of America Development Order (DOS2018-E005) (District 4) 21± acres located on the northeast corner of Corkscrew Road and Sandy Lane. Rezoning was approved on January 20, 2016, throu",4,Corkscrew Road Widening Corridor,"The Colonnade, Continuing Care Retirement Community (CCRC) aka Volunteers of America Development Order (DOS2018-E005) (District 4) 21± acres located on the northeast corner of Corkscrew Road and Sandy Lane. Rezoning was approved on January 20, 2016, throu. Action: Approved the Development Order (DOS2018-E005) with stipulation in the staff report and additional stipulation to change the vertical color pattern, a condition of no pickleball, and there would be no lighting at the bocce and tennis courts. The monument signs are not approved at this time and will come back at a later date","Approved the Development Order (DOS2018-E005) with stipulation in the staff report and additional stipulation to change the vertical color pattern, a condition of no pickleball, and there would be no lighting at the bocce and tennis courts. The monument signs are not approved at this time and will come back at a later date",,See minutes,
3,3,1,Vote,DOS2021-E009,,"Development Order - Spring Run Clubhouse Expansion (DOS2021-E009) (District 6) Located in The Brooks, the Spring Run Clubhouse site is 1 mile east of Coconut Road and US 41. Applicant requests, expansion of the existing clubhouse, outdoor bar/dining area,",6,US 41 / Tamiami Trail,"Development Order - Spring Run Clubhouse Expansion (DOS2021-E009) (District 6) Located in The Brooks, the Spring Run Clubhouse site is 1 mile east of Coconut Road and US 41. Applicant requests, expansion of the existing clubhouse, outdoor bar/dining area,. Action: Approved the Development Order (DOS2021-E009) with parking deviation",Approved the Development Order (DOS2021-E009) with parking deviation,,See minutes,
4,3,2,Vote,DCI2021-E002,,Zoning Amendment - Miromar Outlets Signage (DCI2021-E002) (District 5) Miromar Outlets is located at the intersection of Corkscrew Road and Ben Hill Griffin Parkway. Applicant is proposing a Zoning Amendment to the Commercial Planned Development to adopt ,5,Corkscrew Road Widening Corridor,Zoning Amendment - Miromar Outlets Signage (DCI2021-E002) (District 5) Miromar Outlets is located at the intersection of Corkscrew Road and Ben Hill Griffin Parkway. Applicant is proposing a Zoning Amendment to the Commercial Planned Development to adopt . Action: Motion fails with 4-4 tie vote,Motion fails with 4-4 tie vote,,See minutes,
5,4,1,Vote,,,"Monument Sign - Coconut Office Center (Building Permit to be filed) (District 1) 23421 Walden Center Drive, Located on west side of US 41, just south of Coconut Road and US 41 intersection. Chairman Wood provided information regarding Board business and q",1,"23421 Walden Center Drive, Estero, FL","Monument Sign - Coconut Office Center (Building Permit to be filed) (District 1) 23421 Walden Center Drive, Located on west side of US 41, just south of Coconut Road and US 41 intersection. Chairman Wood provided information regarding Board business and q. Action: Approved the Monument Sign - Coconut Office Center",Approved the Monument Sign - Coconut Office Center,,See minutes,
6,4,2,Unknown,,,Conflict of Interest,,,"Conflict of Interest. Action: Recommended to the Council that the code be changed to allow the firms of the professional architect, landscape architect, and engineer who are on the Board to present at any meeting, but the individual cannot present","Recommended to the Council that the code be changed to allow the firms of the professional architect, landscape architect, and engineer who are on the Board to present at any meeting, but the individual cannot present",,See minutes,
7,4,3,Unknown,,,"Next meeting - June 14, 2022 Chairman Wood brought up the issue of the need for a Vice Chair for the Board. Attorney Stroud advised that any motion should be a recommendation to Council",,,"Next meeting - June 14, 2022 Chairman Wood brought up the issue of the need for a Vice Chair for the Board. Attorney Stroud advised that any motion should be a recommendation to Council. Action: Recommended to the Council that hat Marlene Naratil be appointed to Vice-Chair",Recommended to the Council that hat Marlene Naratil be appointed to Vice-Chair,,See minutes,
8,5,1,Vote,,,"Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted",5,"21580 River Ranch Road, Estero, FL","Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted. Action: Approved the Monument Sign - River of Life Assembly of God",Approved the Monument Sign - River of Life Assembly of God,,See minutes,
9,5,2,Vote,DOS2021-E007,,"Development Order - Estero Crossing Residential - Corsa (DOS2021-E007) (District 5) 43-acre site is located west of I-75, south of Corkscrew Road and east of the Lowe's Plaza. The residential units are south of the proposed commercial tract",5,Corkscrew Road Widening Corridor,"Development Order - Estero Crossing Residential - Corsa (DOS2021-E007) (District 5) 43-acre site is located west of I-75, south of Corkscrew Road and east of the Lowe's Plaza. The residential units are south of the proposed commercial tract. Action: Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign",Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign,,See minutes,
10,5,3,Unknown,CPA2022-E002,,"Comprehensive Plan Amendment and Rezoning - Estero on the River and Happehatchee Properties (CPA2022-E002) (REZ2022-E001) (District 4) 32 acres, located at the northeast intersection of US 41 and Corkscrew Road, and bordered on the north by the Estero Riv",4,Corkscrew Road Widening Corridor,"Comprehensive Plan Amendment and Rezoning - Estero on the River and Happehatchee Properties (CPA2022-E002) (REZ2022-E001) (District 4) 32 acres, located at the northeast intersection of US 41 and Corkscrew Road, and bordered on the north by the Estero Riv. Action: Recommended to the Council for the rezoning and the comprehensive plan amendment with the recommendation Council looks at long-term development",Recommended to the Council for the rezoning and the comprehensive plan amendment with the recommendation Council looks at long-term development,,See minutes,
