ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-12-12,2023-12-12,2023,Accepted,69,1,Ordinance,"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...","Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action A. Action: No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol C...","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur",,,,,June 8,,4,"10251 Arcos Avenue, Estero, FL","10251 Arcos Avenue, Estero, FL",26.43347675746,-81.785746161726,1.0,null,20231212 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20231212%20PZDB%20Minutes.pdf,AgendaItemLocation
"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-10-14,2025-10-14,2025,Pending,121,1,Public Comment,"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...","Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Dev. Action: No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Sta...","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley",,,,,,,6,"23106 Fashion Drive, Estero, FL","23106 Fashion Drive, Estero, FL",26.404693008589,-81.807764164083,1.0,null,20251014 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20251014%20PZDB%20Minutes.pdf,AgendaItemLocation
Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-11-08,2022-11-08,2022,Accepted,32,5,Vote,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,"Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat. Action: Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,00...","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant",,,Detected,,,7,"8400 Murano Del Lago Dr, Estero, FL","8400 Murano Del Lago Dr, Estero, FL",26.392257239852,-81.809213646599,1.0,null,20221108 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20221108%20PZDB%20Minutes.pdf,AgendaItemLocation
"Estero Country Club Pickleball Limited Development Order (LDO2024-E041) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-12-10,2024-12-10,2024,Accepted,97,1,Ordinance,"Estero Country Club Pickleball Limited Development Order (LDO2024-E041) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June...","Estero Country Club Pickleball Limited Development Order (LDO2024-E041) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016,. Action: No formal action recorded. Estero Country Club Pickleball Limited Development Order (LDO2024-E041) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings...","No formal action recorded. Estero Country Club Pickleball Limited Development Order (LDO2024-E041) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 10, 2024 Page 2 of 4 9501 Vintage Trace Circle - The courts are in the southwest portion of the Vines Development and east of the clubhouse. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Tyler Bonnough, Bowman Bruce Ackerman, General Manager of Estero Country Club Public Comment None. Board Questions or Comments Board Members Wallace and","No formal action recorded. Estero Country Club Pickleball Limited Development Order (LDO2024-E041) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 10, 2024 Page 2 of 4 9501 Vintage Trace Circle - The courts are in the southwest portion of the Vines Development and east of the clubhouse. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Tyler Bonnough, Bowman Bruce Ackerman, General Manager of Estero Country Club Public Comment None. Board Questions or Comments Board Members Wallace and",,,,,June 8,LDO2024-E041,,"9501 Vintage Trace Circle, Estero, FL","9501 Vintage Trace Circle, Estero, FL",26.455612966082,-81.814341298694,0.9533,null,20241210 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20241210%20PZDB%20Minutes.pdf,AgendaItemLocation
"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-10-14,2025-10-14,2025,Pending,121,1,Public Comment,"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...","Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Dev. Action: No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Sta...","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley",,,,,,,6,"Coconut Point, Estero, FL","Coconut Point, Estero, FL",26.4038818,-81.8077365,0.7,null,20251014 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20251014%20PZDB%20Minutes.pdf,AgendaItemLocation
Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a par...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-12-10,2024-12-10,2024,Accepted,98,2,Public Comment,Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a par...,Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a parking lot. Action: No formal action recorded. Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Wa...,"No formal action recorded. Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a parking lot. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Lee Shuman, Peachtree Group Jeremy M. Pettit, P.E., Ingenium Enterprises, Inc - Civil Engineering & Planning Christopher Allred AIA, The RBA Group Board Questions or Comments Board Members Wallace, Paivandy, Williams, Tatooles, Vice Chairman Sheeley, and Presentation/Information by Tyler Lamkey, Riverside Investment & Development Planning Zoning and Design Board Minutes - December 10, 2024 Page 4 of 4 Public Comment None","No formal action recorded. Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a parking lot. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Lee Shuman, Peachtree Group Jeremy M. Pettit, P.E., Ingenium Enterprises, Inc - Civil Engineering & Planning Christopher Allred AIA, The RBA Group Board Questions or Comments Board Members Wallace, Paivandy, Williams, Tatooles, Vice Chairman Sheeley, and Presentation/Information by Tyler Lamkey, Riverside Investment & Development Planning Zoning and Design Board Minutes - December 10, 2024 Page 4 of 4 Public Comment None",,,,,,DCI2024-E005,6,"Coconut Point, Estero, FL","Coconut Point, Estero, FL",26.4038818,-81.8077365,0.7,null,20241210 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20241210%20PZDB%20Minutes.pdf,AgendaItemLocation
Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-11-08,2022-11-08,2022,Accepted,32,5,Vote,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,"Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat. Action: Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,00...","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant",,,Detected,,,7,"Coconut Point, Estero, FL","Coconut Point, Estero, FL",26.4038818,-81.8077365,0.7,null,20221108 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20221108%20PZDB%20Minutes.pdf,AgendaItemLocation
"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-10-14,2025-10-14,2025,Pending,121,1,Public Comment,"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...","Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Dev. Action: No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Sta...","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley",,,,,,,6,"Coconut Road, Estero, FL","Coconut Road, Estero, FL",26.3980991,-81.8099138,0.7,null,20251014 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20251014%20PZDB%20Minutes.pdf,AgendaItemLocation
Recommended approval to the Council with staff conditions and the following additional con,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-06-13,2023-06-13,2023,Accepted,47,3,Unknown,Recommended approval to the Council with staff conditions and the following additional con,"Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the...","Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection","Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection",,,,See minutes,,,,"Coconut Road, Estero, FL","Coconut Road, Estero, FL",26.3980991,-81.8099138,0.7,null,20230613 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20230613%20PZDB%20Minutes.pdf,AgendaItemLocation
"Approved the application with staff conditions, a minor amendment for the height of lighti",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-08-22,2023-08-22,2023,Accepted,57,3,Vote,"Approved the application with staff conditions, a minor amendment for the height of lighti","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff",,,See minutes,,,,"Corkscrew Road, Estero, FL","Corkscrew Road, Estero, FL",26.4363,-81.7701,0.9,null,20230822 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20230822%20PZDB%20Minutes.pdf,AgendaItemLocation
