motion_id,item_id,motion_text,proposed_by,seconded_by,outcome,vote_yes,vote_no,vote_abstain,created_at
1,2,"Approved the Development Order (DOS2018-E005) with stipulation in the staff report and additional stipulation to change the vertical color pattern, a condition of no pickleball, and there would be no lighting at the bocce and tennis courts. The monument signs are not approved at this time and will come back at a later date",,,"Approved the Development Order (DOS2018-E005) with stipulation in the staff report and additional stipulation to change the vertical color pattern, a condition of no pickleball, and there would be no lighting at the bocce and tennis courts. The monument signs are not approved at this time and will come back at a later date",8,0,1,
2,3,Approved the Development Order (DOS2021-E009) with parking deviation,,,Approved the Development Order (DOS2021-E009) with parking deviation,8,0,1,
3,4,Motion fails with 4-4 tie vote,,,Motion fails with 4-4 tie vote,4,4,,
4,5,Approved the Monument Sign - Coconut Office Center,,,Approved the Monument Sign - Coconut Office Center,7,0,0,
5,8,Approved the Monument Sign - River of Life Assembly of God,,,Approved the Monument Sign - River of Life Assembly of God,7,0,2,
6,9,Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign,,,Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign,7,0,0,
7,12,Approved the Resolution expanding the COP premises as described with the five conditions in the staff recommendation with the addition of the sixth condition of a minimum of 60- inches clear space be cleared for a walking area between the curb and the barrier of the outdoor seating,,,Approved the Resolution expanding the COP premises as described with the five conditions in the staff recommendation with the addition of the sixth condition of a minimum of 60- inches clear space be cleared for a walking area between the curb and the barrier of the outdoor seating,7,0,0,
8,15,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,,,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,7,0,9,
9,16,Approved the Development Order with the exception of the monument sign,,,Approved the Development Order with the exception of the monument sign,7,0,2,
10,19,Motion withdrew,,,Motion withdrew,,,,
11,20,Approved motion for a continuous to come back on the October 27th meeting,,,Approved motion for a continuous to come back on the October 27th meeting,8,0,5,
12,24,Approved the Development Order,,,Approved the Development Order,5,0,4,
13,25,Approved request with staff conditions,,,Approved request with staff conditions,5,0,1,
14,28,Approved the 100-foot AT&T Cell Tower with conditions,,,Approved the 100-foot AT&T Cell Tower with conditions,8,0,7,
15,29,MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED,,,MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED,,,,
16,30,Approved the Development Order with staff conditions,,,Approved the Development Order with staff conditions,4,3,1,
17,31,Approved the Development Order,,,Approved the Development Order,,,,
18,32,"Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant",,,"Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant",,,,
19,34,Approved the Development Order with staff changes and the monument sign,,,Approved the Development Order with staff changes and the monument sign,6,0,0,
20,35,Approved the Development Order with no cupola required unless the applicant wants one,,,Approved the Development Order with no cupola required unless the applicant wants one,6,0,1,
21,36,Approved continuance,,,Approved continuance,6,0,1,
22,38,Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs,,,Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs,6,0,0,
23,39,Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,,,Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,6,0,8,
24,40,Approved the residential Development Order (DOS2022-E009),,,Approved the residential Development Order (DOS2022-E009),8,0,6,
25,42,"Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape buffer will be clustered and add depth and break up the linear run of the landscape buffer in general, the tower height is going to have a vertical differential minimum of two feet from the parapet of the building, the plants around the lift station and the garbage dumpster are going to be increased to a 48-inch minimum size, the cluster of trees at the west end of the building will go to a 14 to 16-foot minimum, and the west side of the building was going to have red maples instead of cypress, and we were going to add foundation plantings along the east, west, and north side of building one",,,"Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape buffer will be clustered and add depth and break up the linear run of the landscape buffer in general, the tower height is going to have a vertical differential minimum of two feet from the parapet of the building, the plants around the lift station and the garbage dumpster are going to be increased to a 48-inch minimum size, the cluster of trees at the west end of the building will go to a 14 to 16-foot minimum, and the west side of the building was going to have red maples instead of cypress, and we were going to add foundation plantings along the east, west, and north side of building one",6,0,1,
26,43,"Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi standards of 55 decibels, and staff will work with the applicant to meet the lighting requirements",,,"Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi standards of 55 decibels, and staff will work with the applicant to meet the lighting requirements",5,1,1,
