ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
General Planning & Zoning,Planning Zoning & Design Board,2026-12-08,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-12-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/12082026%20PZDB%20Minutes.pdf,2026-12-08,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-11-10,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-11-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/11102026%20PZDB%20Minutes.pdf,2026-11-10,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-10-13,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-10-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/10132026%20PZDB%20Minutes.pdf,2026-10-13,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-09-08,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-09-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/09082026%20PZDB%20Minutes.pdf,2026-09-08,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-08-11,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-08-11,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/08112026%20PZDB%20Minutes.pdf,2026-08-11,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-07-14,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-07-14,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/07142026%20PZDB%20Minutes.pdf,2026-07-14,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-06-09,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-06-09,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/06092026%20PZDB%20Minutes.pdf,2026-06-09,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-05-12,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-05-12,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/05122026%20PZDB%20Minutes.pdf,2026-05-12,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-04-14,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-04-14,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/04142026%20PZDB%20Minutes.pdf,2026-04-14,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-03-10,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-03-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/03102026%20PZDB%20Minutes.pdf,2026-03-10,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-02-10,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-02-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/02102026%20PZDB%20Minutes.pdf,2026-02-10,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2026-01-13,2026,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2026-01-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/01132026%20PZDB%20Minutes.pdf,2026-01-13,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-12-09,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-12-09,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/12092025%20PZDB%20Minutes.pdf,2025-12-09,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-12-03,2025,Accepted,Approved consent agenda . | Adopted Resolution No. 2025- 27. | Adopted Resolution No. 2025- 28. | Adopted Resolution No 2025- 24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process. | Adopted Resolution No. 2025- 25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process. | Adopted Ordinance No. 2025- 16 on first reading and to schedule a second reading and | Adopted Ordinance No. 2025- 13.,9:30 am,DA/MI,Village Council Meeting Minutes — 2025-12-03,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12032025.pdf,2025-12-03,Estero Village Hall,26.428500,-81.806800
